n,k,start_id,perturbation_scale,solver_success,accepted_solution,maximum_scaled_remez_residual,maximum_moment_residual,dense_worst_relative_error,relative_error_difference_vs_published,maximum_node_difference_vs_published,maximum_weight_difference_vs_published,function_evaluations
4,5,7,0.12,True,True,3.018162380677796e-12,1.1102230246251565e-16,0.0001794333494530287,7.172289781494096e-13,6.661338147750939e-15,4.718447854656915e-15,11
4,5,8,0.3,True,False,1.0000085274118578,0.0011982354045207977,0.0006414116646020762,2.5746513485802276,0.1318114822683203,0.13057180920024475,531
4,5,9,0.3,True,True,2.268192841125439e-12,5.551115123125783e-17,0.00017943334945291767,9.849058419406382e-14,3.885780586188048e-15,3.552713678800501e-15,2813
4,5,10,0.3,True,False,1.000014411340568,0.0046026366171021404,0.001000158855666733,4.573985319430642,0.11984424128411275,0.10633503152336607,724
4,5,11,0.3,True,False,1.000000011750175,5.2487589674576896e-06,0.0007064692132761063,2.9372235731549425,0.0012047919653884187,0.0007975721489850152,833
4,6,0,0.04,True,True,3.595319094934956e-14,1.1102230246251565e-16,0.0029432194817884394,5.451918299696143e-14,4.385380947269368e-15,4.163336342344337e-15,6
4,6,1,0.04,True,True,7.279047675810942e-14,2.220446049250313e-16,0.0029432194817885504,1.679780232879352e-14,3.774758283725532e-15,3.497202527569243e-15,6
4,6,2,0.04,True,True,1.0122886140247435e-13,2.220446049250313e-16,0.0029432194817886614,2.0923578339374386e-14,6.827871601444713e-15,7.105427357601002e-15,6
4,6,3,0.04,True,True,2.3133815487901647e-14,5.551115123125783e-17,0.0029432194817884394,5.451918299696143e-14,4.107825191113079e-15,4.218847493575595e-15,6
4,6,4,0.12,True,True,4.346799725433787e-14,1.249000902703301e-16,0.0029432194817883284,9.224056366512933e-14,1.0325074129013956e-14,1.049160758270773e-14,7
4,6,5,0.12,True,True,4.258390239492806e-14,6.938893903907228e-17,0.0029432194817883284,9.224056366512933e-14,4.884981308350689e-15,4.884981308350689e-15,8
4,6,6,0.12,True,True,7.411661904722188e-14,5.551115123125783e-17,0.0029432194817884394,5.451918299696143e-14,1.6653345369377348e-15,1.8318679906315083e-15,8
4,6,7,0.12,True,True,2.1616119312582437e-13,1.1102230246251565e-16,0.0029432194817887725,5.864495900754229e-14,6.661338147750939e-15,6.106226635438361e-15,7
4,6,8,0.3,True,False,1.0000003006773819,4.0355169979272576e-05,0.03139391987140028,9.666523535078715,0.03253187361494786,0.024366248949226066,94
4,6,9,0.3,True,True,3.7721380668169964e-14,1.6653345369377348e-16,0.0029432194817885504,1.679780232879352e-14,8.43769498715119e-15,8.326672684688674e-15,364
4,6,10,0.3,True,True,6.173929101547983e-14,1.1102230246251565e-16,0.0029432194817884394,5.451918299696143e-14,6.5503158452884236e-15,6.938893903907228e-15,1123
4,6,11,0.3,True,True,6.5717717882828e-14,2.220446049250313e-16,0.0029432194817884394,5.451918299696143e-14,4.9404924595819466e-15,5.440092820663267e-15,788
4,7,0,0.04,True,True,8.601967844558196e-15,1.1102230246251565e-16,0.04597982225345432,1.1273105227867005e-13,1.8485213360008856e-14,1.457167719820518e-14,5
4,7,1,0.04,True,True,2.5654991817100443e-15,8.326672684688674e-17,0.04597982225345931,4.074616347421809e-15,3.9968028886505635e-15,4.9404924595819466e-15,5
4,7,2,0.04,True,True,9.809261577128273e-15,1.1102230246251565e-16,0.045979822253451985,1.634373890465859e-13,2.503552920529728e-14,2.0816681711721685e-14,5
4,7,3,0.04,True,True,8.300144411417787e-15,5.551115123125783e-17,0.0459798222534431,3.566043862576939e-13,5.967448757360216e-14,4.5352610555937645e-14,5
4,7,4,0.12,True,True,1.0824674490095276e-15,1.1102230246251565e-16,0.04597982225345132,1.77924913837419e-13,3.008704396734174e-14,2.225997164373439e-14,10
4,7,5,0.12,True,True,6.941938962275582e-15,8.326672684688674e-17,0.04597982225345043,1.972416135585298e-13,3.447242491461111e-14,2.5174307083375425e-14,6
4,7,6,0.12,True,True,2.5654991817100443e-15,5.551115123125783e-17,0.04597982225345909,8.903791277699509e-15,1.887379141862766e-15,2.9976021664879227e-15,6
4,7,7,0.12,True,True,7.998320978272505e-15,8.326672684688674e-17,0.04597982225345931,4.074616347421809e-15,3.3306690738754696e-15,2.248201624865942e-15,5
4,7,8,0.3,True,True,4.678263213707027e-15,8.326672684688674e-17,0.04597982225345465,1.054872898832535e-13,1.7430501486614958e-14,1.3350431871117507e-14,369
4,7,9,0.3,True,True,5.583733513136413e-15,2.220446049250313e-16,0.045979822253436,5.111379840265803e-13,8.953948693601887e-14,6.433742427702782e-14,11
4,7,10,0.3,True,True,9.960173293699044e-15,5.551115123125783e-17,0.04597982225345354,1.29633164534642e-13,1.9984014443252818e-14,1.6237011735142914e-14,9
4,7,11,0.3,True,True,1.0714731876555127e-14,1.3877787807814457e-16,0.04597982225345354,1.29633164534642e-13,2.275957200481571e-14,1.73749903353837e-14,9
