n,k,variable,center,radius,box_lower,box_upper,independent_krawczyk_lower,independent_krawczyk_upper,strictly_included,inclusion_margin
3,4,w_3,0.31577291471789962385275055859532900714467602892943012214362146849530074327214572,1.0e-12,[0.3157729147168996238482760319225359849585062643203540394371700524796757432721457200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.14e-162],[0.3157729147188996238572250852681220293308457935385062048500728845109257432721457200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.14e-162],[0.3157729147178996238487649073132719819728175078749091686527308794293027145993797769717092869158277693533322169798475761326117729808326873906310910662273761765331 +/- 1.64e-161],[0.3157729147178996238567362098773860323165345499839510756345120575612987719449116578272695896502027693533322169798475761326117729808326873906310910662273761765331 +/- 1.64e-161],True,1.0000000004888754e-12
3,4,b_1,0.096326411327406501624302381254051633176562314635658151991801915986067051373025273,1.0e-12,[0.09632641132640650161982785458125861099039255002658206928535049997044205137302527300000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.97e-163],[0.09632641132840650162877690792684465536273207924473423469825333200169205137302527300000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.97e-163],[0.09632641132740650158981294531000798528452326591140534387714771526425118262653598618785408425723217798175936790997269837142791952170315783912948313260919386661014 +/- 3.65e-162],[0.09632641132740650165879181719809528106860136335991096010645611670788292011951455903331306863223217798175936790997269837142791952170315783912948313260919386661014 +/- 3.65e-162],True,9.999999699850907e-13
3,4,E,0.0043654044727458921825229570133951123377138789407000516324533462121565894541514717,1.0e-12,[0.004365404471745892178048430340602090151544114331623968926001930196531589454151471700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.93e-165],[0.004365404473745892186997483686188134523883643549776134338904762227781589454151471700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.93e-165],[0.004365404472745892170959013802733776980724422257531474226912857045232499795146068213069652507199756919198473911334903974807513567963134826287915578039439937215081 +/- 3.69e-163],[0.004365404472745892194086900224056447694703335623868629037993835379080679113156875250423168132199756919198473911334903974807513567963134826287915578039439937215081 +/- 3.69e-163],True,9.999999929105835e-13
3,5,y_1,0.014337704146548202253674009365454614144860566853691657559826616613952634579312026,1.0e-12,[0.01433770414554820224919948269266159195869080224461557485337520059832763457931202600000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.50e-164],[0.01433770414754820225814853603824763633103033146276774026627803262957763457931202600000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.50e-164],[0.01433770414654820225351252783756897659809658650004441661024609663867104508395920769453246502589576745320987562493138378011375082987301287708445800794628192620536 +/- 4.22e-162],[0.01433770414654820225383549089334025169162454720733889850940713658923422407466484495580394177150123620320987562493138378011375082987301287708445800794628192620536 +/- 4.22e-162],True,1.0000000043130451e-12
3,5,y_2,0.31298071277937103669492380004417862969234011803749957622516533238567238140577856,1.0e-12,[0.3129807127783710366904492733713856075061703534284234935187139163700473814057785600000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.92e-163],[0.3129807127803710366993983267169716518785098826465756589316167484012973814057785600000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.92e-163],[0.3129807127793710366937811506029688722071843860923266247065117289102440549865731534399611894017528998900419942704129782659144703430585129752398657305808833267687 +/- 3.51e-161],[0.3129807127793710366960664494853883871774958499826725277438189358611007078249839630760772172337841498900419942704129782659144703430585129752398657305808833267687 +/- 3.51e-161],True,1.0000000033318772e-12
3,5,y_3,0.82709377447807682918736900288537376962904004380956466116295532799069730098489827,1.0e-12,[0.8270937744770768291828944762125807474428702792004885784565039119750723009848982700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.42e-162],[0.8270937744790768291918435295581667918152098084186407438694067440063223009848982700000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.42e-162],[0.8270937744780768291868480248202183573348347874042963492973295702845420599180172806467322635229854063096099123653147099195077128598182450358615215257547046084423 +/- 2.05e-161],[0.8270937744780768291878899809505291819232453002148329730285810856968525420517792602862624454077510313096099123653147099195077128598182450358615215257547046084423 +/- 2.05e-161],True,1.0000000039535487e-12
3,5,w_1,0.3248117062118606764396074845860746436475951929419141367808831884135534275859836,1.0e-12,[0.3248117062108606764351329579132816214614254283328380540744317723979284275859836000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.11e-162],[0.3248117062128606764440820112588676658337649575509902194873346044291784275859836000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.11e-162],[0.3248117062118606764384821047000530891102827248705009574810664681111793763424511464696493883261360193293242246625056276467164608536951416987264325035328587991699 +/- 3.19e-161],[0.3248117062118606764407328644720961981849076610133273160806999087159274788295160444837179918417610193293242246625056276467164608536951416987264325035328587991699 +/- 3.19e-161],True,1.0000000033491468e-12
3,5,w_2,0.4469206723655802697931857872887866760812662276616358122891969378452719992231052,1.0e-12,[0.4469206723645802697887112606159936538950964630525597295827455218296469992231052000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.89e-163],[0.4469206723665802697976603139615796982674359922707118949956483538608969992231052000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 4.89e-163],[0.4469206723655802697926878361917838009048127104249473897460332754859385558040869094028033805549043552118688859371160843976227523817543104951139288525572677651082 +/- 3.11e-161],[0.4469206723655802697936837383857895512577197448983242348323606002046054426421234987272777152717012302118688859371160843976227523817543104951139288525572677651082 +/- 3.11e-161],True,1.0000000039765757e-12
3,5,w_3,0.2282676214225590537672067281251386802711385793964500509299198737411745731909112,1.0e-12,[0.2282676214215590537627322014523456580849688147873739682234684577255495731909112000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 6.11e-163],[0.2282676214235590537716812547979317024573083440055261336363712897567995731909112000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 6.11e-163],[0.2282676214225590537665221309768047822691422842714048904701815822160187998482077313606614736726705629588068894003782879556607867645505478061596386439098734357219 +/- 3.03e-162],[0.2282676214225590537678913252734725782731348745214952113896581652663303465336146695558900503328268129588068894003782879556607867645505478061596386439098734357219 +/- 3.03e-162],True,1.0000000037899295e-12
3,5,E,0.069808046041560936662442271868847843693802247192356761498250970223527724081365735,1.0e-12,[0.06980804604056093665796774519605482150763248258328067879179955420790272408136573500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.69e-163],[0.06980804604256093666691679854164086587997201180143284420470238623915272408136573500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.69e-163],[0.06980804604156093665901044475243520116345438493642192548540702320616880977265012312533952537512919022230851688239163452075315434286832383576832136240882653601518 +/- 1.21e-163],[0.06980804604156093666587409898526048622415010944829159751109491724088663839008134651782609764075419022230851688239163452075315434286832383576832136240882653601518 +/- 1.21e-163],True,1.0000000010426995e-12
4,5,y_1,0.0020491896036606515752316576160371853891425449200806167991151877159786020891459082,1.0e-12,[0.002049189602660651570757130943244163202972780311004534092663771700353602089145908200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.62e-165],[0.002049189604660651579706184288830207575312309529156699505566603731603602089145908200000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.62e-165],[0.002049189603660651562932115899105971886572470967013615636228625389430301172816881939904476609608589736070878653792352595593467161012874724970529221788646050924271 +/- 4.84e-163],[0.002049189603660651587531199332968398891712618873147617962001750042526903005474934384362484422108589736070878653792352595593467161012874724970529221788646050924271 +/- 4.84e-163],True,9.999999921749849e-13
4,5,y_2,0.04836055973063583628595511074180645673640678417775901250832844038753381859117923,1.0e-12,[0.04836055972963583628148058406901343455023701956868292980187702437190881859117923000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.29e-163],[0.04836055973163583629042963741459947892257654878683509521477985640315881859117923000000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 2.29e-163],[0.04836055973063583612721482485248427319619117829150330330792313429568156528824744436174758141211942532617759181574026111170881135225524026579896017488898839824302 +/- 3.10e-163],[0.04836055973063583644469539663112864027662239006401472170873374647938607189411101552873976891211942532617759181574026111170881135225524026579896017488898839824302 +/- 3.10e-163],True,9.999998457342408e-13
4,5,y_3,0.35626221176847530415387808754483274832916863657263379780549209857399924988476289,1.0e-12,[0.3562622117674753041494035608720397261429988719635577150990406825583742498847628900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.56e-163],[0.3562622117694753041583526142176257705153384011817098805119435145896242498847628900000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 1.56e-163],[0.3562622117684753039438195859229674852231144672088219662331503390631079706790829996338060718354582165428470057180530837713165642508800366497056363900361325048796 +/- 1.98e-161],[0.3562622117684753043639365891666980114352228059364456293778338580848905290904427866211107593354582165428470057180530837713165642508800366497056363900361325048796 +/- 1.98e-161],True,9.99999794416025e-13
4,5,y_4,0.83865553165061338416331176032055186022781008955682342375839171048105022174089125,1.0e-12,[0.8386555316496133841588372336477588380416403249477473410519402944654252217408912500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.33e-162],[0.8386555316516133841677862869933448824139798541658995064648431264966752217408912500000000000000000000000000000000000000000000000000000000000000000000000000000000 +/- 3.33e-162],[0.8386555316506133841053717563835234806579701150908666931157677152721993928101556626589768868998067975549708755891103989594962541816531777568840284653725944792065 +/- 3.60e-161],[0.8386555316506133842212517642575802397976500640227801544010157056899010506716268388064378243998067975549708755891103989594962541816531777568840284653725944792065 +/- 3.60e-161],True,9.999999465345227e-13
