n,k,equation_index,equation_type,lower,upper,contains_zero
3,4,5,equal_error,[-8.58797764028375213107024479059167573840982026225287201513081829993598566579021622904000061564981070656149280201262823712349155249773526690022464586432309999999999999999999999662549e-11 +/- 4.09e-191],[8.58797761414857693574576500877607246248358183735650298486918170006401433420978377095999938435018929343850719798737176287650844750226473309977535413567690000000000000000000000337451e-11 +/- 4.09e-191],True
3,4,6,equal_error,[-4.56398233327987120956082321326699671654337340229790923486918170006401433420978377095999938435018929343850719798737176287650844750226473309977535413567690000000000000000000000337451e-11 +/- 4.09e-191],[4.56398179562991671242299731120714354009992188578802826513081829993598566579021622904000061564981070656149280201262823712349155249773526690022464586432309999999999999999999999662549e-11 +/- 4.09e-191],True
3,4,7,stationarity,-3.19109386831550878582675068173557519912719726562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,3.19109386831550878582675068173557519912719726562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,True
3,5,0,moment,[-3.00000003883456843600807673055896884761750698089599609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012049599326e-12 +/- 4.86e-192],[3.00000003883456843600807673055896884761750698089599609374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999987950400674e-12 +/- 4.86e-192],True
3,5,1,moment,[-2.15441221787971044776544005117102642543613910675048828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999476158263945071688459636396898e-12 +/- 3.89e-192],[2.15441221787971044776544005117102642543613910675048828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000523841736054928311540363603102e-12 +/- 3.89e-192],True
3,5,2,moment,[-1.44891329565809828805456049849453847855329513549804687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998987448762116973971654940896798e-12 +/- 2.43e-192],[1.44891329565809828805456049849453847855329513549804687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012551237883026028345059103202e-12 +/- 2.43e-192],True
3,5,3,moment,[-1.19646330806722454853652237716232775710523128509521484374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999080177255887748468396625610190e-12 +/- 3.58e-192],[1.19646330806722454853652237716232775710523128509521484375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000919822744112251531603374389810e-12 +/- 3.58e-192],True
3,5,4,moment,[-1.04899526497353838550008475749564240686595439910888671874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999307902401707274307167207237194e-12 +/- 1.09e-192],[1.04899526497353838550008475749564240686595439910888671875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000692097598292725692832792762806e-12 +/- 1.09e-192],True
3,5,5,equal_error,[-4.45997082712794656233458183766015047679573842042118384154583053419598875759267574759227478841393291815681072491704692501878195649000507722617912120024499999999999999999999984609046e-11 +/- 1.54e-192],[4.45996891630402392903730330812141125549643687254756615845416946580401124240732425240772521158606708184318927508295307498121804350999492277382087879975500000000000000000000015390954e-11 +/- 1.54e-192],True
3,5,6,equal_error,[-3.71189716202261977363062712623832573642104319578975365845416946580401124240732425240772521158606708184318927508295307498121804350999492277382087879975500000000000000000000015390954e-11 +/- 1.54e-192],[3.71189869337578203700135375316858465324074574463993384154583053419598875759267574759227478841393291815681072491704692501878195649000507722617912120024499999999999999999999984609046e-11 +/- 1.54e-192],True
4,5,0,moment,[-4.00000005855568815937850501995853846892714500427246093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012049599326e-12 +/- 4.86e-192],[4.00000005855568815937850501995853846892714500427246093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999987950400674e-12 +/- 4.86e-192],True
4,5,1,moment,[-2.24532752349129553770534784007395501248538494110107421875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003346113742494562316721181717282e-12 +/- 3.46e-192],[2.24532752349129553770534784007395501248538494110107421874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996653886257505437683278818282718e-12 +/- 3.46e-192],True
4,5,2,moment,[-1.49927549623332309614021085053536808118224143981933593750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003650170312225155525966953234328e-12 +/- 3.61e-193],[1.49927549623332309614021085053536808118224143981933593749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996349829687774844474033046765672e-12 +/- 3.61e-193],True
