n,k,equation_index,equation_type,lower,upper,contains_zero
3,4,5,equal_error,[-8.58797769471416210672652463496726046911463712125314712121565894541514717317464103196997569191984739113349039748075135679631348262879155780394399372150829999999999999999999998396938e-11 +/- 4.08e-191],[8.58797760308625385950966252469859976657643343538747787878434105458485282682535896803002430808015260886650960251924864320368651737120844219605600627849170000000000000000000001603062e-11 +/- 4.09e-191],True
3,4,6,equal_error,[-4.56398208369307018651374524754990782924904848665700912878434105458485282682535896803002430808015260886650960251924864320368651737120844219605600627849170000000000000000000001603062e-11 +/- 4.08e-191],[4.56398206690076118518016395707328844479308102994455337121565894541514717317464103196997569191984739113349039748075135679631348262879155780394399372150829999999999999999999998396938e-11 +/- 4.08e-191],True
3,4,7,stationarity,-3.19109386831550878582675068173557519912719726562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,3.19109386831550878582675068173557519912719726562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,True
3,5,0,moment,[-3.00000003544643664699087537428567884489893913269042968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012049599326e-12 +/- 4.86e-192],[3.00000003544643664699087537428567884489893913269042968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999987950400674e-12 +/- 4.86e-192],True
3,5,1,moment,[-2.15441221787971044776544005117102642543613910675048828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003864089976118843415604681661957e-12 +/- 1.36e-192],[2.15441221787971044776544005117102642543613910675048828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996135910023881156584395318338043e-12 +/- 1.36e-192],True
3,5,2,moment,[-1.44891329565809828805456049849453847855329513549804687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002504639215713203191919589446026e-12 +/- 3.93e-192],[1.44891329565809828805456049849453847855329513549804687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997495360784286796808080410553974e-12 +/- 3.93e-192],True
3,5,3,moment,[-1.19646330806722454853652237716232775710523128509521484375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001192892871471970221205240084268e-12 +/- 3.42e-192],[1.19646330806722454853652237716232775710523128509521484374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998807107128528029778794759915732e-12 +/- 3.42e-192],True
3,5,4,moment,[-1.04899526497353838550008475749564240686595439910888671875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000317862835386082612953176077915e-12 +/- 3.72e-192],[1.04899526497353838550008475749564240686595439910888671874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999682137164613917387046823922085e-12 +/- 3.72e-192],True
3,5,5,equal_error,[-4.45996987754450788161122534752938687842152752449130922764722759186342651784171884920583097776914831176083654792468456571316761642316786375911734639848400000000000000000000022397239e-11 +/- 1.89e-191],[4.45996986588746260976065979825217485387064776847744077235277240813657348215828115079416902223085168823916345207531543428683238357683213624088265360151599999999999999999999977602761e-11 +/- 1.89e-191],True
3,5,6,equal_error,[-3.71189793813371085667327417517664119560458026359462827235277240813657348215828115079416902223085168823916345207531543428683238357683213624088265360151599999999999999999999977602761e-11 +/- 1.89e-191],[3.71189791726469095395870670423026919405720867683505922764722759186342651784171884920583097776914831176083654792468456571316761642316786375911734639848400000000000000000000022397239e-11 +/- 1.89e-191],True
4,5,0,moment,-4.00000005177942458134410230741195846349000930786132812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-12,4.00000005177942458134410230741195846349000930786132812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-12,True
4,5,1,moment,[-2.24532752687942732672254919634724501520395278930664062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998755954374313137253796245729355e-12 +/- 3.62e-192],[2.24532752687942732672254919634724501520395278930664062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001244045625686862746203754270645e-12 +/- 3.62e-192],True
4,5,2,moment,[-1.49927549792738899064881152867201308254152536392211914062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997960930186738320165427862386186e-12 +/- 2.96e-192],[1.49927549792738899064881152867201308254152536392211914062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002039069813261679834572137613814e-12 +/- 2.96e-192],True
4,5,3,moment,[-1.23519349994527169456226545207755407318472862243652343749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997570220125207460641292354153867e-12 +/- 2.20e-192],[1.23519349994527169456226545207755407318472862243652343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002429779874792539358707645846133e-12 +/- 2.20e-192],True
