n,k,variable,center,radius,lower,upper,krawczyk_lower,krawczyk_upper
3,4,w_3,0.31577291471789962385275055859532900714467602892943012214362146849530074327214572,1.0e-12,[0.315772914716899623848276031922535984958506264320354039437170052479675743272145717399489438283015269353332216979847576132611772980832687390631091066227376176533100000000000000000000 +/- 2.78e-182],[0.315772914718899623857225085268122029330845793538506204850072884510925743272145717399489438283015269353332216979847576132611772980832687390631091066227376176533100000000000000000000 +/- 2.78e-182],[0.315772914717899623848781597369661487754946492682041427006237872205563345816535382526289975392390269353332216979847576132611772980832687390631091066227376176533065154351451815192498 +/- 4.83e-181],[0.315772914717899623856719519820996526534405565176818817281005064785038140727756052272688901173640269353332216979847576132611772980832687390631091066227376176533065154351451815192498 +/- 4.83e-181]
3,4,b_1,0.096326411327406501624302381254051633176562314635658151991801915986067051373025273,1.0e-12,[0.0963264113264065016198278545812586109903925500265820692853504999704420513730252726105835764447321779817593679099726983714279195217031578391294831326091938666101600000000000000000000 +/- 3.21e-183],[0.0963264113284065016287769079268446553627320792447342346982533320016920513730252726105835764447321779817593679099726983714279195217031578391294831326091938666101600000000000000000000 +/- 3.21e-183],[0.0963264113274065015968989493038393813722816844210908680608088025139260751452053530244019358197321779817593679099726983714279195217031578391294831326091938666101648767045898892581938 +/- 1.36e-182],[0.0963264113274065016517058132042638849808429448502254359227950294582080276008451921967652170697321779817593679099726983714279195217031578391294831326091938666101648767045898892581938 +/- 1.36e-182]
3,4,E,0.0043654044727458921825229570133951123377138789407000516324533462121565894541514717,1.0e-12,[0.00436540447174589217804843034060209015154411433162396892600193019653158945415147173174641031969975691919847391133490397480751356796313482628791557803943993721508300000000000000000000 +/- 1.61e-184],[0.00436540447374589218699748368618813452388364354977613433890476222778158945415147173174641031969975691919847391133490397480751356796313482628791557803943993721508300000000000000000000 +/- 1.61e-184],[0.00436540447274589217109295012869728127164392489130150109534450329497883604757465946444294352282475691919847391133490397480751356796313482628791557803943993721508300225856907751379818 +/- 3.12e-184],[0.00436540447274589219395296389809294340378383299009860216956218912933434286072828399904987711657475691919847391133490397480751356796313482628791557803943993721508300225856907751379818 +/- 3.12e-184]
3,5,y_1,0.014337704146548202253674009365454614144860566853691657559826616613952634579312026,1.0e-12,[0.0143377041455482022491994826926615919586908022446155748533752005983276345793120263251682033986985018282098756249313837801137508298730128770844580079462819262053800000000000000000000 +/- 5.7e-185],[0.0143377041475482022581485360382476363310303314627677402662780326295776345793120263251682033986985018282098756249313837801137508298730128770844580079462819262053800000000000000000000 +/- 5.7e-185],[0.0143377041465482022535125277797849152906574717536352992032820053151086737122232725951095333547531893282098756249313837801137508298730128770844580079462819262053755821006766883324877 +/- 2.94e-182],[0.0143377041465482022538354909511243129990636619537480159163712279127965954464007800552268734426438143282098756249313837801137508298730128770844580079462819262053755821006766883324877 +/- 2.94e-182]
3,5,y_2,0.31298071277937103669492380004417862969234011803749957622516533238567238140577856,1.0e-12,[0.312980712778371036690449273371385607506170353428423493518713916370047381405778558258019203317768524890041994270412978265914470343058512975239865730580883326768700000000000000000000 +/- 1.97e-182],[0.312980712780371036699398326716971651878509882646575658931616748401297381405778558258019203317768524890041994270412978265914470343058512975239865730580883326768700000000000000000000 +/- 1.97e-182],[0.312980712779371036693781150498839232718010827777978454089183946593380805552182116810284370554096649890041994270412978265914470343058512975239865730580883326768731939596868911581722 +/- 2.66e-183],[0.312980712779371036696066449589518026666669408297020698361146718177963957259374999705754036081440399890041994270412978265914470343058512975239865730580883326768731939596868911581722 +/- 2.66e-183]
3,5,y_3,0.82709377447807682918736900288537376962904004380956466116295532799069730098489827,1.0e-12,[0.827093774477076829182894476212580747442870279200488578456503911975072300984898270466497354465368218809609912365314709919507712859818245035861521525754704608442400000000000000000000 +/- 2.98e-183],[0.827093774479076829191843529558166791815209808418640743869406744006322300984898270466497354465368218809609912365314709919507712859818245035861521525754704608442400000000000000000000 +/- 2.98e-183],[0.827093774478076829186848024794185947462541397825709306642997624705326247559419521489313058811071343809609912365314709919507712859818245035861521525754704608442360048779835154981525 +/- 4.87e-181],[0.827093774478076829187889980976561591795538689793420015682913031276068354410377019443681650119665093809609912365314709919507712859818245035861521525754704608442360048779835154981525 +/- 4.87e-181]
3,5,w_1,0.3248117062118606764396074845860746436475951929419141367808831884135534275859836,1.0e-12,[0.324811706210860676435132957913281621461425428332838054074431772397928427585983595476683690083948519329324224662505627646716460853695141698726432503532858799170000000000000000000000 +/- 1.18e-182],[0.324811706212860676444082011258867665833764957550990219487334604429178427585983595476683690083948519329324224662505627646716460853695141698726432503532858799170000000000000000000000 +/- 1.18e-182],[0.324811706211860676438482104526503689961660127679920673118853497583073960618466085420188023580042269329324224662505627646716460853695141698726432503532858799169964672728450339289031 +/- 1.88e-181],[0.324811706211860676440732864645645597333530258203907600442912879244032894553501105533179356587854769329324224662505627646716460853695141698726432503532858799169964672728450339289031 +/- 1.88e-181]
3,5,w_2,0.4469206723655802697931857872887866760812662276616358122891969378452719992231052,1.0e-12,[0.446920672364580269788711260615993653895096463052559729582745521829646999223105204065040547913302792711868885937116084397622752381754310495113928852557267765108200000000000000000000 +/- 2.02e-182],[0.446920672366580269797660313961579698267435992270711894995648353860896999223105204065040547913302792711868885937116084397622752381754310495113928852557267765108200000000000000000000 +/- 2.02e-182],[0.446920672365580269792687836060044029732903738921188719343807975130513081140880067606166799134005917711868885937116084397622752381754310495113928852557267765108187923795108933519764 +/- 4.81e-181],[0.446920672365580269793683738517529322429628716402082905234585900560030917305330340523914296692599667711868885937116084397622752381754310495113928852557267765108187923795108933519764 +/- 4.81e-181]
3,5,w_3,0.2282676214225590537672067281251386802711385793964500509299198737411745731909112,1.0e-12,[0.228267621421559053762732201452345658084968814787373968223468457725549573190911200458275762002748687958806889400378287955660786764550547806159638643909873435721800000000000000000000 +/- 1.73e-183],[0.228267621423559053771681254797931702457308344005526133636371289756799573190911200458275762002748687958806889400378287955660786764550547806159638643909873435721800000000000000000000 +/- 1.73e-183],[0.228267621422559053766522130938150597913312705806230190771325056962031684527865604126917806070131500458806889400378287955660786764550547806159638643909873435721847403476440727191205 +/- 2.34e-181],[0.228267621422559053767891325312126762628964452986669911088514690520317461853956796789633717935365875458806889400378287955660786764550547806159638643909873435721847403476440727191205 +/- 2.34e-181]
3,5,E,0.069808046041560936662442271868847843693802247192356761498250970223527724081365735,1.0e-12,[0.0698080460405609366579677451960548215076324825832806787917995542079027240813657348215828115079416902223085168823916345207531543428683238357683213624088265360151600000000000000000000 +/- 2.26e-183],[0.0698080460425609366669167985416408658799720118014328442047023862391527240813657348215828115079416902223085168823916345207531543428683238357683213624088265360151600000000000000000000 +/- 2.26e-183],[0.0698080460415609366590104430800500820949093574635573670859002162989711673415213530123481923673166902223085168823916345207531543428683238357683213624088265360151584369838576169750751 +/- 6.27e-183],[0.0698080460415609366658741006576456052926951369211561559106017241480842808212101166308174306485666902223085168823916345207531543428683238357683213624088265360151584369838576169750751 +/- 6.27e-183]
4,5,y_1,0.0020491896036606515752316576160371853891425449200806167991151877159786020891459082,1.0e-12,[0.00204918960266065157075713094324416320297278031100453409266377170035360208914590816213348051585858973607087865379235259559346716101287472497052922178864605092430200000000000000000000 +/- 1.21e-184],[0.00204918960466065157970618428883020757531230952915669950556660373160360208914590816213348051585858973607087865379235259559346716101287472497052922178864605092430200000000000000000000 +/- 1.21e-184],[0.00204918960366065156304569217948960327009709680366934739495727447285338016428960303975799223460858973607087865379235259559346716101287472497052922178864605092430154233374797334244417 +/- 1.06e-183],[0.00204918960366065158741762305258476750818799303649188620327310095910382401400221328450896879710858973607087865379235259559346716101287472497052922178864605092430154233374797334244417 +/- 1.06e-183]
4,5,y_2,0.04836055973063583628595511074180645673640678417775901250832844038753381859117923,1.0e-12,[0.0483605597296358362814805840690134345502370195686829298018770243719088185911792299452436751621194253261775918157402611117088113522552402657989601748889883982433300000000000000000000 +/- 1.44e-184],[0.0483605597316358362904296374145994789225765487868350952147798564031588185911792299452436751621194253261775918157402611117088113522552402657989601748889883982433300000000000000000000 +/- 1.44e-184],[0.0483605597306358361287032929458692231326325083713429682983607319759655084794181368055952376621194253261775918157402611117088113522552402657989601748889883982433339680094702691148746 +/- 3.92e-182],[0.0483605597306358364432069285377436903401810599841750567182961487991021287029403230848921126621194253261775918157402611117088113522552402657989601748889883982433339680094702691148746 +/- 3.92e-182]
4,5,y_3,0.35626221176847530415387808754483274832916863657263379780549209857399924988476289,1.0e-12,[0.356262211767475304149403560872039726142998871963557715099040682558374249884762893127458415585458216542847005718053083771316564250880036649705636390036132504879900000000000000000000 +/- 1.33e-183],[0.356262211769475304158352614217625770515338401181709880511943514589624249884762893127458415585458216542847005718053083771316564250880036649705636390036132504879900000000000000000000 +/- 1.33e-183],[0.356262211768475303945773379865520809284053002421208298984294718989807882854619155334489665585458216542847005718053083771316564250880036649705636390036132504879929245107881094072191 +/- 4.81e-181],[0.356262211768475304361982795224144687374284270724059296626689478158190616914906630920427165585458216542847005718053083771316564250880036649705636390036132504879929245107881094072191 +/- 4.81e-181]
4,5,y_4,0.83865553165061338416331176032055186022781008955682342375839171048105022174089125,1.0e-12,[0.838655531649613384158837233647758838041640324947747341051940294465425221740891250732707355649806797554970875589110398959496254181653177756884028465372594479206600000000000000000000 +/- 4.16e-182],[0.838655531651613384167786286993344882413979854165899506464843126496675221740891250732707355649806797554970875589110398959496254181653177756884028465372594479206600000000000000000000 +/- 4.16e-182],[0.838655531650613384105907477403083391498020707831294646924203006011197839423705848816203449399806797554970875589110398959496254181653177756884028465372594479206575821106681438577509 +/- 1.88e-182],[0.838655531650613384220716043238020328957599471282352200592580414950902604058076652649211261899806797554970875589110398959496254181653177756884028465372594479206575821106681438577509 +/- 1.88e-182]
4,5,w_1,0.10140746149903025715868090059954345727139939681585867837158779654890672661507816,1.0e-12,[0.101407461498030257154206373926750435085229632206782595665136380533281726615078157176311823194421765004011791770458759469965171659701469674891514355096307413248000000000000000000000 +/- 6.69e-183],[0.101407461500030257163155427272336479457569161424934761078039212564531726615078157176311823194421765004011791770458759469965171659701469674891514355096307413248000000000000000000000 +/- 6.69e-183],[0.101407461499030256876532534834082968909641000152989492315943419428718289212829774607952448194421765004011791770458759469965171659701469674891514355096307413247997649356513770766227 +/- 1.25e-181],[0.101407461499030257440829266365003945633157793478727864427232173669095164017326539744671198194421765004011791770458759469965171659701469674891514355096307413247997649356513770766227 +/- 1.25e-181]
4,5,w_2,0.28941637368550365624667699972638583524964748668189205171705563219297862816854111,1.0e-12,[0.289416373684503656242202473053592813063477722072815969010604216177353628168541113569777146093835912396435152880189889871654682553120822008156278186059415426757800000000000000000000 +/- 2.9e-184],[0.289416373686503656251151526399178857435817251290968134423507048208603628168541113569777146093835912396435152880189889871654682553120822008156278186059415426757800000000000000000000 +/- 2.9e-184],[0.289416373685503656220891540778853289501562930460659726376680008169797183668899456694166794531335912396435152880189889871654682553120822008156278186059415426757818303641429548355406 +/- 2.27e-181],[0.289416373685503656272462458673918380997732042903124377057431256216160072668182770445387497656335912396435152880189889871654682553120822008156278186059415426757818303641429548355406 +/- 2.27e-181]
4,5,w_3,0.39751746153573288235563608951329444726650164314140925082569205265124995106066698,1.0e-12,[0.397517461534732882351161562840501425080331878532333168119240636635624951060666981197954165516130953882810485407631422641796600329843367440213240670222377136584100000000000000000000 +/- 5.15e-183],[0.397517461536732882360110616186087469452671407750485333532143468666874951060666981197954165516130953882810485407631422641796600329843367440213240670222377136584100000000000000000000 +/- 5.15e-183],[0.397517461535732882147050216364656667257862713996755000389672514622618591721906605221391665516130953882810485407631422641796600329843367440213240670222377136584115654254285848794253 +/- 5.29e-182],[0.397517461535732882564221962661932227275140572286063501261711590679881310399427357174516665516130953882810485407631422641796600329843367440213240670222377136584115654254285848794253 +/- 5.29e-182]
4,5,w_4,0.21165870327973320423900601016077626021245147336084001908566451860686469415571375,1.0e-12,[0.211658703278733204234531483487983238026281708751763936379213102591239694155713748055956865195611368716742569941719928016583545457334340876738966788621900023410100000000000000000000 +/- 1.33e-182],[0.211658703280733204243480536833569282398621237969916101792115934622489694155713748055956865195611368716742569941719928016583545457334340876738966788621900023410100000000000000000000 +/- 1.33e-182],[0.211658703279733204157573435843046522774447075572520994265517255862579295061489771920702958945611368716742569941719928016583545457334340876738966788621900023410068392747770832084114 +/- 3.44e-181],[0.211658703279733204320438584478505997650455871149159043905811781351150093249937724191210771445611368716742569941719928016583545457334340876738966788621900023410068392747770832084114 +/- 3.44e-181]
4,5,b_1,0.087704157840579866696587541330525449055982784356895326752898984520101924322143049,1.0e-12,[0.0877041578395798666921130146577324268698130197478192440464475685044769243221430486190829768885225528997194543280904809378836352298465951848582245196280796936572000000000000000000000 +/- 2.88e-183],[0.0877041578415798667010620680033184712421525489659714094593504005357269243221430486190829768885225528997194543280904809378836352298465951848582245196280796936572000000000000000000000 +/- 2.88e-183],[0.0877041578405798661853624553680974703994867316910992452151355000720238358597902959335361018885225528997194543280904809378836352298465951848582245196280796936572017712783715038957588 +/- 8.91e-183],[0.0877041578405798672078126272929534277124788370226914082906624689681800127844958013046298518885225528997194543280904809378836352298465951848582245196280796936572017712783715038957588 +/- 8.91e-183]
4,5,b_2,0.10712715881892533252638266926753385662606315685845673587073298199308710999368192,1.0e-12,[0.107127158817925332521908142594740834439893392249380653164281565977462109993681917656426352272846286619237553024193865081411289686651046491532248621998862702958100000000000000000000 +/- 3.50e-183],[0.107127158819925332530857195940326878812232921467532818577184398008712109993681917656426352272846286619237553024193865081411289686651046491532248621998862702958100000000000000000000 +/- 3.50e-183],[0.107127158818925331944102713756838248348619063114367387440695492613913033972964296806816977272846286619237553024193865081411289686651046491532248621998862702958059049072310667792478 +/- 2.12e-181],[0.107127158818925333108662624778229464903507250602546084300770471372261186014399538506035727272846286619237553024193865081411289686651046491532248621998862702958059049072310667792478 +/- 2.12e-181]
4,5,E,0.00017943334945250058747245033604004338658930646802809382147277859928902931983640623,1.0e-12,[0.000179433348452500582997923663247021200419541858952011115021362583664029319836406231019087750609862154682908026367915960215605546699757059691403728418957924002502800000000000000000000 +/- 3.65e-186],[0.000179433350452500591946977008833065572759071077104176527924194614914029319836406231019087750609862154682908026367915960215605546699757059691403728418957924002502800000000000000000000 +/- 3.65e-186],[0.000179433349452500572398077838950084223511724018447789838278515914569596010326056003663130719359862154682908026367915960215605546699757059691403728418957924002502772299105873916581797 +/- 3.10e-184],[0.000179433349452500602546822833130002549666888917608397804667041284008462629346756458375044781859862154682908026367915960215605546699757059691403728418957924002502772299105873916581797 +/- 3.10e-184]
4,6,y_1,0.0039410920047379337540812808308473790073078884797971992117387072254317464207723017,1.0e-12,[0.00394109200373793374960675415805435682113812387072111650528729120980674642077230172104285243224338008744790548565453241282053659252688465857846357751835783354348400000000000000000000 +/- 2.00e-184],[0.00394109200573793375855580750364040119347765308887328191819012324105674642077230172104285243224338008744790548565453241282053659252688465857846357751835783354348400000000000000000000 +/- 2.00e-184],[0.00394109200473793375299583085768263755389004723646062332284530449501435404407840477175162318419650508744790548565453241282053659252688465857846357751835783354348436982326854637545926 +/- 2.71e-183],[0.00394109200473793375516673080401212046072572972313377510063210995584913879746619867033408168029025508744790548565453241282053659252688465857846357751835783354348436982326854637545926 +/- 2.71e-183]
