n,k,variable,center,radius,lower,upper,krawczyk_lower,krawczyk_upper
4,6,E,0.0029432194817884311368703065327376434365013881889941460600685401004001758193036749,1.0e-12,[0.00294321948078843113239577985994462125033162357991806335361712408477517581930367492924517493629747184508089535856283371540065282694502716646014208760593867534460900000000000000000000 +/- 1.0e-186],[0.00294321948278843114134483320553066562267115279807022876651995611602517581930367492924517493629747184508089535856283371540065282694502716646014208760593867534460900000000000000000000 +/- 1.0e-186],[0.00294321948178843191666167492333867109274031153217801131187074191124397704535331591878026999246260760812587568624389006618295906269694457905963752129992170766184715043877704844275111 +/- 9.50e-185],[0.00294321948178843194123812731360372597462778558382866835389372682178932383814062938008398092996260760812587568624389006618295906269694457905963752129992170766184715043877704844275111 +/- 9.50e-185]
4,7,y_1,0.0098604348680662390676892263358309417552360353762254097084864791051906153592370516,1.0e-12,[0.00986043486706623906321469966303791956906627076714932700203506308956561535923705157426659702104874614076747599469823218142774453668898042940184532006657380035847200000000000000000000 +/- 8.17e-184],[0.00986043486906623907216375300862396394140579998530149241493789512081561535923705157426659702104874614076747599469823218142774453668898042940184532006657380035847200000000000000000000 +/- 8.17e-184],[0.00986043486806623900835791711431730975830929260241081281276492225501715531006991056424281748791454319159273726732046027486239442872205722429518770204124085765430907512558513696672291 +/- 2.45e-183],[0.00986043486806623901127691596410588607385175214582294425695212974020296407414204565507075938244579319159273726732046027486239442872205722429518770204124085765430907512558513696672291 +/- 2.45e-183]
4,7,y_2,0.18412559927122428312260675454497009995073852837196369713509324505739600973330737,1.0e-12,[0.184125599270224283118132227872177077764568763762887614428641829041771009733307374762660442441788316143297222838469252171218700087619850181428445259076714168220500000000000000000000 +/- 9.67e-183],[0.184125599272224283127081281217763122136908292981039779841544661073021009733307374762660442441788316143297222838469252171218700087619850181428445259076714168220500000000000000000000 +/- 9.67e-183],[0.184125599271224282962023001556910005535405018632267201107831910224433980686629208346829088963592846747400135323999713129519743135130735602757108223265577255515164933415270574566736 +/- 2.30e-181],[0.184125599271224283014887656890118329148372476020364720796062273723748970581257733127102526463592846747400135323999713129519743135130735602757108223265577255515164933415270574566736 +/- 2.30e-181]
4,7,y_3,0.56067365674677874033552395691709206928614209561903799802626831865812414475433441,1.0e-12,[0.560673656745778740331049430244299047099972331009961915319816902642499144754334411044903688205199019375295407277991524249883292999839776881010440017914294554705100000000000000000000 +/- 2.11e-182],[0.560673656747778740339998483589885091472311860228114080732719734673749144754334411044903688205199019375295407277991524249883292999839776881010440017914294554705100000000000000000000 +/- 2.11e-182],[0.560673656746778740223554505515245123888035757172110283922366439676999405710790307871807666218594779908698301500305429210589033889551141551007239235384172225694104387032915792011459 +/- 2.35e-182],[0.560673656746778740292328100195280650749616259025585212142333394788885314701888711802471728718594779908698301500305429210589033889551141551007239235384172225694104387032915792011459 +/- 2.35e-182]
4,7,y_4,0.90320124575940906462835968582464926265831116676206031826461930213521582916264841,1.0e-12,[0.903201245758409064623885159151856240472141402152984235558167886119590829162648406050591950955819705011590596960881986662021926529766480060714241269898989148985300000000000000000000 +/- 3.80e-182],[0.903201245760409064632834212497442284844480931371136400971070718150840829162648406050591950955819705011590596960881986662021926529766480060714241269898989148985300000000000000000000 +/- 3.80e-182],[0.903201245759409064600875054828404402168801926831337761779770023656851238937601962851837605581852782125770784082095462555832214238176396278391560848950814198534012391179967627326837 +/- 3.91e-181],[0.903201245759409064621180347074837082675071573369847781588990554019232635054290810393646687613102782125770784082095462555832214238176396278391560848950814198534012391179967627326837 +/- 3.91e-181]
4,7,w_1,0.24884518534525921688973948475222621866122861786882359233794011065993536347616881,1.0e-12,[0.248845185344259216885264958079433196475058853259747509631488694644310363476168808987429275951338645888649300175763837177586213295850628052075765509802651915538500000000000000000000 +/- 1.50e-182],[0.248845185346259216894214011425019240847398382477899675044391526675560363476168808987429275951338645888649300175763837177586213295850628052075765509802651915538500000000000000000000 +/- 1.50e-182],[0.248845185345259216617153324438700173641807187866577117398154711913155923655161115888057711610866416598031533574852990707556679874222611069554943921445157283998795927711148844359714 +/- 3.21e-181],[0.248845185345259216662706244681552174245559382573614003743429662740089414698907587293087008485866416598031533574852990707556679874222611069554943921445157283998795927711148844359714 +/- 3.21e-181]
4,7,w_2,0.35453090041122809744744960050053937743063028595178992036866357236094860363072295,1.0e-12,[0.354530900410228097442975073827746355244460521342713837662212156345323603630722953559726232691329872876209500443124428458459390330067131776398545656971055802883800000000000000000000 +/- 1.93e-182],[0.354530900412228097451924127173332399616800050560866003075114988376573603630722953559726232691329872876209500443124428458459390330067131776398545656971055802883800000000000000000000 +/- 1.93e-182],[0.354530900411228097597785473476378601698068241137914959351798294325067928544987818065967645450250229181631868264382286856284803067649404438758708094355835542980270157497036216076144 +/- 4.84e-181],[0.354530900411228097619006106754315619648910067196367652764402023298021760089133759800281610294000229181631868264382286856284803067649404438758708094355835542980270157497036216076144 +/- 4.84e-181]
4,7,w_3,0.27043023488154012797245977059504450093062902074050574908792264652994043128231868,1.0e-12,[0.270430234880540127967985243922251478744459256131429666381471230514315431282318676313248386484897330547889339062106940881599404664814640847276134320782840540951700000000000000000000 +/- 1.23e-182],[0.270430234882540127976934297267837523116798785349581831794374062545565431282318676313248386484897330547889339062106940881599404664814640847276134320782840540951700000000000000000000 +/- 1.23e-182],[0.270430234881540128019273637058929927701280703068327539855066985110453858403759848628669826172577901185148521757332025590032240484397122755156825451622130453397721613634443362506153 +/- 2.51e-181],[0.270430234881540128055871242809005974163490274164915069114803000884705285905199896846443263672577901185148521757332025590032240484397122755156825451622130453397721613634443362506153 +/- 2.51e-181]
4,7,w_4,0.12619367936197255769035114415218990297751207543888073820547367044917560161078956,1.0e-12,[0.126193679360972557685876617479396880791342310829804655499022254433550601610789561139596104872434150687251860319004793482354991709267599324249554512443451740625900000000000000000000 +/- 1.17e-182],[0.126193679362972557694825670824982925163681840047956820911925086464800601610789561139596104872434150687251860319004793482354991709267599324249554512443451740625900000000000000000000 +/- 1.17e-182],[0.126193679361972557700941793472536197920699602716839559527960986420515776288709456343238654656930453035188076403432696846126276573730861736529522532576876719623212301157371577057979 +/- 2.61e-181],[0.126193679361972557727262177308581330980184541275444098244384335307990052414140517134254279656930453035188076403432696846126276573730861736529522532576876719623212301157371577057979 +/- 2.61e-181]
4,7,E,0.045979822253452812742993125768817066410401137305538124054991726710563925905846798,1.0e-12,[0.0459798222524528127385185990960240442242313726964620413485403106949389259058467977708858034507304244670923199436932649873656627834667300482874130635983433392024800000000000000000000 +/- 3.06e-183],[0.0459798222544528127474676524416100885965709019146142067614431427261889259058467977708858034507304244670923199436932649873656627834667300482874130635983433392024800000000000000000000 +/- 3.06e-183],[0.0459798222534528178142473530044060460035176768054258459717942341911369697444348682227656295458107923331843228163614096229342750004336215999131400227303461140444806904592302264738881 +/- 3.35e-182],[0.0459798222534528178392183718090363434399377014619595797474260789557123319499402393165156295458107923331843228163614096229342750004336215999131400227303461140444806904592302264738881 +/- 3.35e-182]
