n,k,variable,center,radius,lower,upper,krawczyk_lower,krawczyk_upper
3,4,w_3,0.31577291471789962408637742736846449096986904359165493508999616274281007078390696,1.0e-12,[0.315772914716899624081902900695671468783699278982578852383544746727185070783906963664282868676976672213462984527095337899634821728854055572459428384620897453282200000000000000000000 +/- 1.66e-182],[0.315772914718899624090851954041257513156038808200731017796447578758435070783906963664282868676976672213462984527095337899634821728854055572459428384620897453282200000000000000000000 +/- 1.66e-182],[0.315772914717899623848781596511380814685343118091283952474784380763355624345701025392338990604316899421025479612712936357359481582458329198419502120159217905650052950939784507749096 +/- 1.13e-181],[0.315772914717899623856719520679277183225723879161982700804894409111727622054155753518864869510566899421025479612712936357359481582458329198419502120159217905650052950939784507749096 +/- 1.13e-181]
3,4,b_1,0.096326411327406501321140666597555987315895667454177427693845548627086446291076562,1.0e-12,[0.0963264113264065013166661399247629651297259028451013449873941326114614462910765624764523105835818674353047399810507594891809323204756710264236958253757695293418300000000000000000000 +/- 6.09e-183],[0.0963264113284065013256151932703490095020654320632535104002969646427114462910765624764523105835818674353047399810507594891809323204756710264236958253757695293418300000000000000000000 +/- 6.09e-183],[0.0963264113274065015968989466785103221396756785794416897838932156188829785853399331350300055861983890229451687656952691539632458905479997898886588724527114594182507785520163200092320 +/- 1.70e-182],[0.0963264113274065016517058158295930108992915158290415881681045872680269631266368920583698493361983890229451687656952691539632458905479997898886588724527114594182507785520163200092320 +/- 1.70e-182]
3,4,E,0.0043654044727458909876975537655296534894863511116868561869818451513081829993598567,1.0e-12,[0.00436540447174589098322302709273663130331658650261077348053042913568318299935985665790216229040000615649810706561492802012628237123491552497735266900224645864323100000000000000000000 +/- 3.40e-185],[0.00436540447374589099217208043832267567565611572076293889343326116693318299935985665790216229040000615649810706561492802012628237123491552497735266900224645864323100000000000000000000 +/- 3.40e-185],[0.00436540447274589217109294980053113720556208278401626922869577268761346363570503970996450132616036708493728524885131285326817359551222490506339297447788638766471833021805329284337570 +/- 1.35e-183],[0.00436540447274589219395296422625907248158381298537153661819160161007672445956580421344350523241036708493728524885131285326817359551222490506339297447788638766471833021805329284337570 +/- 1.35e-183]
3,5,y_1,0.014337704146548202283657541657000492806844582598460609741425112650586055233822177,1.0e-12,[0.0143377041455482022791830149842074706206748179893845270349736966349610552338221765901680028979346265730137094281395356558769506998558843244891748217791227547615200000000000000000000 +/- 3.76e-184],[0.0143377041475482022881320683297935149930143472075366924478765286662110552338221765901680028979346265730137094281395356558769506998558843244891748217791227547615200000000000000000000 +/- 3.76e-184],[0.0143377041465482022535125277632188366938017440309933308323355264544443073572877967247995398431955537773775105107123294130719580145778236818028240167586037863313572355512440224357856 +/- 4.79e-182],[0.0143377041465482022538354909676903924214904300583986472873017706984068993660442703852685950189768037773775105107123294130719580145778236818028240167586037863313572355512440224357856 +/- 4.79e-182]
3,5,y_2,0.31298071277937103674938499826701795153838570385213799775562587210121846807262608,1.0e-12,[0.312980712778371036744910471594224929352215939243061915049174456085593468072626084944404000449421417837324221832696764739611006146346628097441013536461379900250100000000000000000000 +/- 4.56e-183],[0.312980712780371036753859524939810973724555468461214080462077288116843468072626084944404000449421417837324221832696764739611006146346628097441013536461379900250100000000000000000000 +/- 4.56e-183],[0.312980712779371036693781150468862519054544594601506227080766744070871636987416938538525875923557068329652991032000442527346950126998523451343480401637947998544340283772452449151681 +/- 4.16e-181],[0.312980712779371036696066449619494741800000072331839842314221269110618477762895569796536740181369568329652991032000442527346950126998523451343480401637947998544340283772452449151681 +/- 4.16e-181]
3,5,y_3,0.82709377447807682920176552480663866156828298922964816282948881886318062534549212,1.0e-12,[0.827093774477076829197290998133845639382113224620572080123037402847555625345492115325735419569116095589219381361675666703165601819697594304962355638299806196502300000000000000000000 +/- 5.38e-182],[0.827093774479076829206240051479431683754452753838724245535940234878805625345492115325735419569116095589219381361675666703165601819697594304962355638299806196502300000000000000000000 +/- 5.38e-182],[0.827093774478076829186848024786297338603592716224065486211011525146844116786480092735279484497679645460295417419134048811388725164643043476604314849568833300887886795857855922917903 +/- 2.39e-181],[0.827093774478076829187889980984450201041010244300010766556582656311050352339618050785053654419554645460295417419134048811388725164643043476604314849568833300887886795857855922917903 +/- 2.39e-181]
3,5,w_1,0.32481170621186067652879455975830685458413580182601050033815170381588248210841363,1.0e-12,[0.324811706210860676524320033085513832397966037216934417631700287800257482108413631393841772178953522146874376341948735037675304634820660121410143032890944710915600000000000000000000 +/- 1.79e-182],[0.324811706212860676533269086431099876770305566435086583044603119831507482108413631393841772178953522146874376341948735037675304634820660121410143032890944710915600000000000000000000 +/- 1.79e-182],[0.324811706211860676438482104477594315056001042929099306560628183583631983368612291202455036454829050467862619793783618023303165385146756760919179553617803545041997980154644406483473 +/- 8.46e-182],[0.324811706211860676440732864694554974675276637324140575979753057724068515257166163906960956864985300467862619793783618023303165385146756760919179553617803545041997980154644406483473 +/- 8.46e-182]
3,5,w_2,0.44692067236558026972486960952020361961314750682256228027204946845992724395583835,1.0e-12,[0.446920672364580269720395082847410597426977742213486197565598052444302243955838347564425314561477543355829835464541542740139041080823880440659990190646922193725800000000000000000000 +/- 4.30e-183],[0.446920672366580269729344136192996641799317271431638362978500884475552243955838347564425314561477543355829835464541542740139041080823880440659990190646922193725800000000000000000000 +/- 4.30e-183],[0.446920672365580269792687836022178705344804567538188895627280975952717842489847565186782822632761510871122464291415472940775113533804494108088956462275113090814911491195853857967904 +/- 2.46e-181],[0.446920672365580269793683738555394644942746678338609023785206379430863496424764046562477097535105260871122464291415472940775113533804494108088956462275113090814911491195853857967904 +/- 2.46e-181]
3,5,w_3,0.22826762142255905374633583072148952580271669135142721938979882772419027393574802,1.0e-12,[0.228267621421559053741861304048696503616546926742351136683347411708565273935748021041732913259568934497295788193509722222185654284355459437929866776462133095358600000000000000000000 +/- 1.36e-182],[0.228267621423559053750810357394282547988886455960503302096250243739815273935748021041732913259568934497295788193509722222185654284355459437929866776462133095358600000000000000000000 +/- 1.36e-182],[0.228267621422559053766522130927106544959665498068997038951011877659791302475233048172520182294245376161014915914800909035921721081048749130991863984107083364143090528649501735548623 +/- 2.22e-181],[0.228267621422559053767891325323170815021505575800965159096119525648926859984376884968803904218073501161014915914800909035921721081048749130991863984107083364143090528649501735548623 +/- 2.22e-181]
3,5,E,0.069808046041560928142389840298568269399202131991562192822155349084541694658040112,1.0e-12,[0.0698080460405609281379153136257752472130323673824861101157039330689166946580401124240732425240772521158606708184318927508295307498121804350999492277382087879975500000000000000000000 +/- 1.55e-183],[0.0698080460425609281468643669713612915853718966006382755286067651001666946580401124240732425240772521158606708184318927508295307498121804350999492277382087879975500000000000000000000 +/- 1.55e-183],[0.0698080460415609366590104423479871835469387888490600161330827331711645543643379211255420482865249621250796124825128477074389018587166016566542982175348462445666588721128482273917032 +/- 1.34e-182],[0.0698080460415609366658741013897085468349224791508270221226354832937488114063733815976489818802749621250796124825128477074389018587166016566542982175348462445666588721128482273917032 +/- 1.34e-182]
4,5,y_1,0.002049189603660651561575227666364934799697313331549700733391490761558894202633944,1.0e-12,[0.00204918960266065155710070099357191261352754872247361802694007474593389420263394401568668260158179197404589746852527825556826330897370105131148562983412774964169600000000000000000000 +/- 6.04e-185],[0.00204918960466065156604975433915795698586707794062578343984290677718389420263394401568668260158179197404589746852527825556826330897370105131148562983412774964169600000000000000000000 +/- 6.04e-185],[0.00204918960366065156304569210375896091545949404351997127703523655235134506223046235873313353676611120584351126414609542112399619401705870242997628480748325786202124038671240966531930 +/- 2.82e-183],[0.00204918960366065158741762312831541895598465691539439461964601913585742445287548951937766478676611120584351126414609542112399619401705870242997628480748325786202124038671240966531930 +/- 2.82e-183]
4,5,y_2,0.048360559730635835943245200954219940023678171090639651088681924479835014785685528,1.0e-12,[0.0483605597296358359387706742814269178375084064815635683822305084642100147856855277119237290832841871374936091015264726132676600055323690500106674300768898634084300000000000000000000 +/- 7.00e-184],[0.0483605597316358359477197276270129622098479356997157337951333404954600147856855277119237290832841871374936091015264726132676600055323690500106674300768898634084300000000000000000000 +/- 7.00e-184],[0.0483605597306358361287032913302821661212538670427651227245026633574456231985474526357381037808736928259683663109167707756267736787760914671664348711211296203483596245214077342405758 +/- 3.83e-182],[0.0483605597306358364432069301533309011140667736220374145427304769220358016286278664540974787808736928259683663109167707756267736787760914671664348711211296203483596245214077342405758 +/- 3.83e-182]
4,5,y_3,0.35626221176847530365068413272202004507048956992374536007841044100461093589647792,1.0e-12,[0.356262211767475303646209606049227022884319805314669277371959024988985935896477922240922817748825886022421619969945694914303680641331333889384818083850200994515600000000000000000000 +/- 3.00e-182],[0.356262211769475303655158659394813067256659334532821442784861857020235935896477922240922817748825886022421619969945694914303680641331333889384818083850200994515600000000000000000000 +/- 3.00e-182],[0.356262211768475303945773377240191823444469459420307033295598593644433520357512776905787037154714462247554809545186282998477958835741871895699666136178067502432782296539379446173689 +/- 2.58e-181],[0.356262211768475304361982797849473886685755304543623361460218497517678286503457372242701099654714462247554809545186282998477958835741871895699666136178067502432782296539379446173689 +/- 2.58e-181]
4,5,y_4,0.83865553165061338402369635213739984926145167557633678798716069127082011605766428,1.0e-12,[0.838655531649613384019221825464606827075281910967260705280709275255195116057664280721768922723683688660402473644923095541524332022411607759587249249906867974728200000000000000000000 +/- 1.22e-182],[0.838655531651613384028170878810192871447621440185412870693612107286445116057664280721768922723683688660402473644923095541524332022411607759587249249906867974728200000000000000000000 +/- 1.22e-182],[0.838655531650613384105907476696264049815042103745943468757248223823913235139310420591749897960361995165684198167755746100309537370802002356182031897371942022118917488545800534598984 +/- 4.37e-181],[0.838655531650613384220716043944839729430674022494818611412378556338003931489050448973097554210361995165684198167755746100309537370802002356182031897371942022118917488545800534598984 +/- 4.37e-181]
4,5,w_1,0.10140746149903025670854530132511546722569141075163941190474305384130798549906555,1.0e-12,[0.101407461498030256704070774652322445039521646142563329198291637825682985499065550338526211141457862004967400106236070629866992719707470305176533374495037155903600000000000000000000 +/- 5.62e-183],[0.101407461500030256713019827997908489411861175360715494611194469856932985499065550338526211141457862004967400106236070629866992719707470305176533374495037155903600000000000000000000 +/- 5.62e-183],[0.101407461499030256876532534430186305437763151231840238638543785049102867394963548864700214326188492731440357591950700787972221391022957241601638264944254844733361265775085043230401 +/- 9.77e-182],[0.101407461499030257440829266768900849107596033299188661599405638474843131751099870886184589326188492731440357591950700787972221391022957241601638264944254844733361265775085043230401 +/- 9.77e-182]
4,5,w_2,0.28941637368550365600248432252963037709465745050107994092039463769184374591392662,1.0e-12,[0.289416373684503655998009795856837354908487685892003858213943221676218745913926618694270418142211287603638241135734319750651765054301655949174900317044555827865100000000000000000000 +/- 1.04e-182],[0.289416373686503656006958849202423399280827215110156023626846053707468745913926618694270418142211287603638241135734319750651765054301655949174900317044555827865100000000000000000000 +/- 1.04e-182],[0.289416373685503656220891537724383893404670365351967896276452692673776590824378806129819115955150281750108800628521734258822059822386519525100802110534966294883094087565774559471165 +/- 6.54e-182],[0.289416373685503656272462461728387834932354898902858556507100503309450113307936268822079858142650281750108800628521734258822059822386519525100802110534966294883094087565774559471165 +/- 6.54e-182]
4,5,w_3,0.39751746153573288285195436173669677025491073924662680528392202174827217469432094,1.0e-12,[0.397517461534732882847479835063903748068740974637550722577470605732647174694320942913782957875980407568864965413485438241863544100162278221967291605873414264995700000000000000000000 +/- 1.06e-182],[0.397517461536732882856428888409489792441080503855702887990373437763897174694320942913782957875980407568864965413485438241863544100162278221967291605873414264995700000000000000000000 +/- 1.06e-182],[0.397517461535732882147050213739327467512856277210059966113410305032234120515056035224947499253779902573259741614808955102459448915484949742756246702037577193908630916388633739988045 +/- 2.66e-181],[0.397517461535732882564221965287261212681188712319833797507674525794358871278233906929049061753779902573259741614808955102459448915484949742756246702037577193908630916388633739988045 +/- 2.66e-181]
4,5,w_4,0.21165870327973320443701601440855738542474039950065384189094028671857609389268689,1.0e-12,[0.211658703278733204432541487735764363238570634891577759184488870702951093892686888053420412840350442822529393344544171377617698125828595523681274702586992751235600000000000000000000 +/- 5.80e-183],[0.211658703280733204441490541081350407610910164109729924597391702734201093892686888053420412840350442822529393344544171377617698125828595523681274702586992751235600000000000000000000 +/- 5.80e-183],[0.211658703279733204157573434732330326472596261034092596940396000708957092736437414719803189996131322945191100164718609850746269871105573490541312922483201666474913730270506657310507 +/- 4.29e-181],[0.211658703279733204320438585589222110450974300650158286417016548957277212191894148423416471246131322945191100164718609850746269871105573490541312922483201666474913730270506657310507 +/- 4.29e-181]
4,5,b_1,0.087704157840579867482413126829139399494985279816759457681763919215992731699458589,1.0e-12,[0.0877041578395798674779386001563463773088155152076833749753125032003677316994585891040279940602437731258446907080724647076668634118663642315660004557716769965445600000000000000000000 +/- 3.68e-183],[0.0877041578415798674868876535019324216811550444258355403882153352316177316994585891040279940602437731258446907080724647076668634118663642315660004557716769965445600000000000000000000 +/- 3.68e-183],[0.0877041578405798661853624384044324691594135822757538654397680119959852827972007278696647565930819612364033921534878843201517590793530892566291463983507504138360668375061031256428734 +/- 3.91e-182],[0.0877041578405798672078126442566182382176814147549681641973651466774038208907676224009147565930819612364033921534878843201517590793530892566291463983507504138360668375061031256428734 +/- 3.91e-182]
