rho_lower,rho_upper,log10_tau_lower,log10_tau_upper,selected_k,depth
4.90125,5.0,-0.7999999999999989,-0.3999999999999986,3,0
4.9753125,5.0,-0.899999999999999,-0.7999999999999989,3,2
4.9506250000000005,4.9753125,-0.899999999999999,-0.7999999999999989,3,2
4.9753125,5.0,-0.9999999999999991,-0.899999999999999,3,2
4.9506250000000005,4.9753125,-0.9999999999999991,-0.899999999999999,3,2
4.9259375,4.9506250000000005,-0.899999999999999,-0.7999999999999989,3,2
4.90125,4.9259375,-0.899999999999999,-0.7999999999999989,3,2
4.93828125,4.9506250000000005,-0.9499999999999991,-0.899999999999999,3,3
4.9259375,4.93828125,-0.9499999999999991,-0.899999999999999,3,3
4.93828125,4.9506250000000005,-0.9999999999999991,-0.9499999999999991,3,3
4.932109375,4.93828125,-0.9749999999999991,-0.9499999999999991,3,4
4.9259375,4.932109375,-0.9749999999999991,-0.9499999999999991,3,4
4.932109375,4.93828125,-0.9999999999999991,-0.9749999999999991,3,4
4.9259375,4.932109375,-0.9999999999999991,-0.9749999999999991,3,4
4.91359375,4.9259375,-0.9499999999999991,-0.899999999999999,3,3
4.90125,4.91359375,-0.9499999999999991,-0.899999999999999,3,3
4.919765625,4.9259375,-0.9749999999999991,-0.9499999999999991,3,4
4.91359375,4.919765625,-0.9749999999999991,-0.9499999999999991,3,4
4.907421875000001,4.91359375,-0.9749999999999991,-0.9499999999999991,3,4
4.90125,4.907421875000001,-0.9749999999999991,-0.9499999999999991,3,4
4.993828125,5.0,-1.024999999999999,-0.9999999999999991,3,4
4.987656250000001,4.993828125,-1.024999999999999,-0.9999999999999991,3,4
4.981484375000001,4.987656250000001,-1.024999999999999,-0.9999999999999991,3,4
4.9753125,4.981484375000001,-1.024999999999999,-0.9999999999999991,3,4
4.987656250000001,5.0,-1.0999999999999992,-1.0499999999999992,4,3
4.9753125,4.987656250000001,-1.0999999999999992,-1.0499999999999992,4,3
4.956796875,4.96296875,-1.0499999999999992,-1.024999999999999,4,4
4.9506250000000005,4.956796875,-1.0499999999999992,-1.024999999999999,4,4
4.96296875,4.9753125,-1.0999999999999992,-1.0499999999999992,4,3
4.9506250000000005,4.96296875,-1.0999999999999992,-1.0499999999999992,4,3
4.9753125,5.0,-1.1999999999999993,-1.0999999999999992,4,2
4.9506250000000005,4.9753125,-1.1999999999999993,-1.0999999999999992,4,2
4.944453125000001,4.9506250000000005,-1.0499999999999992,-1.024999999999999,4,4
4.93828125,4.944453125000001,-1.0499999999999992,-1.024999999999999,4,4
4.932109375,4.93828125,-1.0499999999999992,-1.024999999999999,4,4
4.9259375,4.932109375,-1.0499999999999992,-1.024999999999999,4,4
4.93828125,4.9506250000000005,-1.0999999999999992,-1.0499999999999992,4,3
4.9259375,4.93828125,-1.0999999999999992,-1.0499999999999992,4,3
4.919765625,4.9259375,-1.0499999999999992,-1.024999999999999,4,4
4.91359375,4.919765625,-1.0499999999999992,-1.024999999999999,4,4
4.90125,4.91359375,-1.0499999999999992,-0.9999999999999991,4,3
4.91359375,4.9259375,-1.0999999999999992,-1.0499999999999992,4,3
4.90125,4.91359375,-1.0999999999999992,-1.0499999999999992,4,3
4.9259375,4.9506250000000005,-1.1999999999999993,-1.0999999999999992,4,2
4.90125,4.9259375,-1.1999999999999993,-1.0999999999999992,4,2
4.90125,5.0,-1.5999999999999996,-1.1999999999999993,4,0
4.90125,5.0,-2.0,-1.5999999999999996,4,0
4.90125,5.0,-2.3999999999999986,-2.0,4,0
4.90125,5.0,-2.799999999999999,-2.3999999999999986,4,0
4.90125,5.0,-3.1999999999999993,-2.799999999999999,4,0
4.9506250000000005,5.0,-3.3999999999999995,-3.1999999999999993,4,1
4.90125,4.9506250000000005,-3.3999999999999995,-3.1999999999999993,4,1
4.9753125,5.0,-3.4999999999999996,-3.3999999999999995,4,2
4.9506250000000005,4.9753125,-3.4999999999999996,-3.3999999999999995,4,2
4.987656250000001,5.0,-3.55,-3.4999999999999996,4,3
4.981484375000001,4.987656250000001,-3.5249999999999995,-3.4999999999999996,4,4
4.9753125,4.981484375000001,-3.5249999999999995,-3.4999999999999996,4,4
4.981484375000001,4.987656250000001,-3.55,-3.5249999999999995,4,4
4.9753125,4.981484375000001,-3.55,-3.5249999999999995,4,4
4.993828125,5.0,-3.5999999999999996,-3.5749999999999997,5,4
4.987656250000001,4.993828125,-3.5999999999999996,-3.5749999999999997,5,4
4.981484375000001,4.987656250000001,-3.5999999999999996,-3.5749999999999997,5,4
4.9753125,4.981484375000001,-3.5999999999999996,-3.5749999999999997,5,4
4.969140625,4.9753125,-3.5249999999999995,-3.4999999999999996,4,4
4.96296875,4.969140625,-3.5249999999999995,-3.4999999999999996,4,4
4.956796875,4.96296875,-3.5249999999999995,-3.4999999999999996,4,4
4.9506250000000005,4.956796875,-3.5249999999999995,-3.4999999999999996,4,4
4.969140625,4.9753125,-3.5999999999999996,-3.5749999999999997,5,4
4.96296875,4.969140625,-3.5999999999999996,-3.5749999999999997,5,4
4.9506250000000005,4.96296875,-3.5999999999999996,-3.55,5,3
4.9259375,4.9506250000000005,-3.4999999999999996,-3.3999999999999995,4,2
4.91359375,4.9259375,-3.4499999999999993,-3.3999999999999995,4,3
4.90125,4.91359375,-3.4499999999999993,-3.3999999999999995,4,3
4.91359375,4.9259375,-3.4999999999999996,-3.4499999999999993,4,3
4.907421875000001,4.91359375,-3.4749999999999996,-3.4499999999999993,4,4
4.90125,4.907421875000001,-3.4749999999999996,-3.4499999999999993,4,4
4.907421875000001,4.91359375,-3.4999999999999996,-3.4749999999999996,4,4
4.944453125000001,4.9506250000000005,-3.5249999999999995,-3.4999999999999996,4,4
4.9259375,4.932109375,-3.55,-3.5249999999999995,5,4
4.93828125,4.9506250000000005,-3.5999999999999996,-3.55,5,3
4.9259375,4.93828125,-3.5999999999999996,-3.55,5,3
4.919765625,4.9259375,-3.55,-3.5249999999999995,5,4
4.91359375,4.919765625,-3.55,-3.5249999999999995,5,4
4.907421875000001,4.91359375,-3.55,-3.5249999999999995,5,4
4.90125,4.907421875000001,-3.55,-3.5249999999999995,5,4
4.91359375,4.9259375,-3.5999999999999996,-3.55,5,3
4.90125,4.91359375,-3.5999999999999996,-3.55,5,3
4.90125,5.0,-4.0,-3.5999999999999996,5,0
4.90125,5.0,-4.3999999999999995,-4.0,5,0
4.90125,5.0,-4.8,-4.3999999999999995,5,0
4.90125,5.0,-5.199999999999999,-4.8,5,0
4.90125,5.0,-5.6,-5.199999999999999,5,0
4.9506250000000005,5.0,-5.8,-5.6,5,1
4.90125,4.9506250000000005,-5.8,-5.6,5,1
4.9506250000000005,5.0,-6.0,-5.8,5,1
4.9259375,4.9506250000000005,-5.9,-5.8,5,2
4.90125,4.9259375,-5.9,-5.8,5,2
4.9259375,4.9506250000000005,-6.0,-5.9,5,2
4.90125,4.9259375,-6.0,-5.9,5,2
4.987656250000001,5.0,-6.05,-6.0,5,3
4.9753125,4.987656250000001,-6.05,-6.0,5,3
4.993828125,5.0,-6.074999999999999,-6.05,5,4
4.987656250000001,4.993828125,-6.074999999999999,-6.05,5,4
4.981484375000001,4.987656250000001,-6.074999999999999,-6.05,5,4
4.9753125,4.981484375000001,-6.074999999999999,-6.05,5,4
4.96296875,4.9753125,-6.05,-6.0,5,3
4.9506250000000005,4.96296875,-6.05,-6.0,5,3
4.956796875,4.96296875,-6.1,-6.074999999999999,6,4
4.9506250000000005,4.956796875,-6.1,-6.074999999999999,6,4
4.987656250000001,4.993828125,-6.125,-6.1,6,4
4.993828125,5.0,-6.1499999999999995,-6.125,6,4
4.987656250000001,4.993828125,-6.1499999999999995,-6.125,6,4
4.9753125,4.987656250000001,-6.1499999999999995,-6.1,6,3
4.987656250000001,5.0,-6.199999999999999,-6.1499999999999995,6,3
4.9753125,4.987656250000001,-6.199999999999999,-6.1499999999999995,6,3
4.9506250000000005,4.9753125,-6.199999999999999,-6.1,6,2
4.944453125000001,4.9506250000000005,-6.025,-6.0,5,4
4.93828125,4.944453125000001,-6.025,-6.0,5,4
4.932109375,4.93828125,-6.025,-6.0,5,4
4.9259375,4.932109375,-6.025,-6.0,5,4
4.944453125000001,4.9506250000000005,-6.1,-6.074999999999999,6,4
4.93828125,4.944453125000001,-6.1,-6.074999999999999,6,4
4.932109375,4.93828125,-6.074999999999999,-6.05,6,4
4.9259375,4.932109375,-6.074999999999999,-6.05,6,4
4.932109375,4.93828125,-6.1,-6.074999999999999,6,4
4.9259375,4.932109375,-6.1,-6.074999999999999,6,4
4.919765625,4.9259375,-6.025,-6.0,5,4
4.90125,4.907421875000001,-6.05,-6.025,6,4
4.91359375,4.9259375,-6.1,-6.05,6,3
4.90125,4.91359375,-6.1,-6.05,6,3
4.9259375,4.9506250000000005,-6.199999999999999,-6.1,6,2
4.90125,4.9259375,-6.199999999999999,-6.1,6,2
4.9506250000000005,5.0,-6.3999999999999995,-6.199999999999999,6,1
4.90125,4.9506250000000005,-6.3999999999999995,-6.199999999999999,6,1
4.90125,5.0,-6.8,-6.3999999999999995,6,0
4.90125,5.0,-7.199999999999999,-6.8,6,0
4.90125,5.0,-7.6,-7.199999999999999,6,0
4.90125,5.0,-8.0,-7.6,6,0
4.90125,5.0,-8.4,-8.0,6,0
4.9753125,5.0,-8.5,-8.4,6,2
4.9506250000000005,4.9753125,-8.5,-8.4,6,2
4.987656250000001,5.0,-8.55,-8.5,6,3
4.9753125,4.987656250000001,-8.55,-8.5,6,3
4.993828125,5.0,-8.575000000000001,-8.55,6,4
4.987656250000001,4.993828125,-8.575000000000001,-8.55,6,4
4.981484375000001,4.987656250000001,-8.575000000000001,-8.55,6,4
4.96296875,4.9753125,-8.55,-8.5,6,3
4.956796875,4.96296875,-8.525,-8.5,6,4
4.9506250000000005,4.956796875,-8.525,-8.5,6,4
4.956796875,4.96296875,-8.55,-8.525,6,4
4.96296875,4.969140625,-8.600000000000001,-8.575000000000001,7,4
4.956796875,4.96296875,-8.600000000000001,-8.575000000000001,7,4
4.9506250000000005,4.956796875,-8.600000000000001,-8.575000000000001,7,4
4.9259375,4.9506250000000005,-8.5,-8.4,6,2
4.91359375,4.9259375,-8.45,-8.4,6,3
4.90125,4.91359375,-8.45,-8.4,6,3
4.91359375,4.9259375,-8.5,-8.45,6,3
4.907421875000001,4.91359375,-8.475,-8.45,6,4
4.90125,4.907421875000001,-8.475,-8.45,6,4
4.944453125000001,4.9506250000000005,-8.525,-8.5,6,4
4.93828125,4.944453125000001,-8.525,-8.5,6,4
4.932109375,4.93828125,-8.525,-8.5,6,4
4.944453125000001,4.9506250000000005,-8.575000000000001,-8.55,7,4
4.93828125,4.944453125000001,-8.575000000000001,-8.55,7,4
4.944453125000001,4.9506250000000005,-8.600000000000001,-8.575000000000001,7,4
4.93828125,4.944453125000001,-8.600000000000001,-8.575000000000001,7,4
4.9259375,4.93828125,-8.600000000000001,-8.55,7,3
4.919765625,4.9259375,-8.55,-8.525,7,4
4.91359375,4.919765625,-8.55,-8.525,7,4
4.907421875000001,4.91359375,-8.55,-8.525,7,4
4.90125,4.907421875000001,-8.55,-8.525,7,4
4.91359375,4.9259375,-8.600000000000001,-8.55,7,3
4.90125,4.91359375,-8.600000000000001,-8.55,7,3
