rho,tau,selected_k,is_upper_half
1.05,0.06309573444801916,8,True
1.05,0.08912509381337441,8,True
1.05,0.12589254117941662,8,True
1.05,0.1778279410038923,8,True
1.05,0.25118864315095824,8,True
1.05,0.3548133892335746,8,True
1.05,0.5011872336272715,8,True
1.05,0.7079457843841374,8,True
1.05,1.0,8,True
1.05,1.4125375446227555,8,True
1.05,1.9952623149688746,8,True
1.05,2.8183829312644493,8,True
1.05,3.981071705534969,6,True
1.05,5.62341325190349,6,True
1.05,7.943282347242821,6,True
1.05,11.220184543019606,6,True
1.05,15.848931924611108,6,True
1.05,22.38721138568338,6,True
1.05,31.622776601683793,6,True
1.05,44.668359215096345,6,True
1.05,63.09573444801917,6,True
1.05,89.1250938133744,6,True
1.05,125.89254117941661,6,True
1.05,177.82794100389228,5,True
1.05,251.18864315095718,5,True
1.05,354.8133892335746,5,True
1.05,501.18723362727144,5,True
1.05,707.9457843841374,5,True
1.05,1000.0,5,True
1.05,1412.5375446227497,5,True
1.05,1995.2623149688748,5,True
1.05,2818.3829312644493,4,False
1.05,3981.071705534969,4,False
1.05,5623.413251903491,4,False
1.05,7943.282347242789,4,False
1.05,11220.184543019652,4,False
1.05,15848.931924611108,4,False
1.05,22387.211385683288,4,False
1.05,31622.776601683792,4,False
1.05,44668.35921509616,4,False
1.05,63095.73444801943,4,False
1.05,89125.0938133744,3,False
1.05,125892.5411794161,3,False
1.05,177827.94100389228,3,False
1.05,251188.64315095718,3,False
1.05,354813.389233576,3,False
1.05,501187.2336272715,3,False
1.05,707945.7843841345,3,False
1.05,1000000.0,3,False
1.05,1412537.5446227496,3,False
1.05,1995262.3149688828,0,False
1.05,2818382.9312644494,0,False
1.05,3981071.705534953,0,False
1.05,5623413.251903491,0,False
1.05,7943282.347242789,0,False
1.05,11220184.543019652,0,False
1.05,15848931.924611108,0,False
1.05,22387211.385683287,0,False
1.05,31622776.60168379,0,False
1.05,44668359.21509617,0,False
1.05,63095734.44801943,0,False
1.05,89125093.8133744,0,False
1.05,125892541.1794161,0,False
1.05,177827941.00389227,0,False
1.05,251188643.1509572,0,False
1.05,354813389.23357606,0,False
1.05,501187233.6272715,0,False
1.05,707945784.3841344,0,False
1.05,1000000000.0,0,False
1.05,1412537544.6227496,0,False
1.05,1995262314.9688828,0,False
1.05,2818382931.264449,0,False
1.05,3981071705.534953,0,False
1.05,5623413251.903491,0,False
1.05,7943282347.242789,0,False
1.05,11220184543.019653,0,False
1.05,15848931924.611109,0,False
1.05,22387211385.683285,0,False
1.05,31622776601.683792,0,False
1.05,44668359215.09617,0,False
1.05,63095734448.019424,0,False
1.05,89125093813.3744,0,False
1.05,125892541179.4161,0,False
1.05,177827941003.89227,0,False
1.05,251188643150.95718,0,False
1.05,354813389233.57605,0,False
1.05,501187233627.2715,0,False
1.05,707945784384.1344,0,False
1.05,1000000000000.0,0,False
1.1,1e-12,8,True
1.1,1.4125375446227555e-12,8,True
1.1,1.9952623149688827e-12,8,True
1.1,2.8183829312644492e-12,8,True
1.1,3.9810717055349695e-12,8,True
1.1,5.6234132519034904e-12,8,True
1.1,7.943282347242821e-12,8,True
1.1,1.1220184543019653e-11,8,True
1.1,1.5848931924611107e-11,8,True
1.1,2.2387211385683377e-11,8,True
1.1,3.1622776601683794e-11,8,True
1.1,4.4668359215096346e-11,8,True
1.1,6.309573444801942e-11,8,True
1.1,8.912509381337441e-11,8,True
1.1,1.2589254117941662e-10,8,True
1.1,1.778279410038923e-10,8,True
1.1,2.511886431509582e-10,8,True
1.1,3.5481338923357605e-10,8,True
1.1,5.011872336272714e-10,8,True
1.1,7.079457843841373e-10,8,True
1.1,1e-09,8,True
1.1,1.4125375446227555e-09,8,True
1.1,1.9952623149688828e-09,8,True
1.1,2.8183829312644493e-09,8,True
1.1,3.981071705534969e-09,8,True
1.1,5.623413251903491e-09,8,True
1.1,7.943282347242822e-09,8,True
1.1,1.122018454301963e-08,8,True
1.1,1.584893192461114e-08,8,True
1.1,2.2387211385683378e-08,8,True
1.1,3.162277660168379e-08,8,True
1.1,4.4668359215096253e-08,8,True
1.1,6.30957344480193e-08,8,True
1.1,8.912509381337459e-08,8,True
1.1,1.2589254117941662e-07,8,True
1.1,1.7782794100389227e-07,8,True
1.1,2.511886431509577e-07,8,True
1.1,3.548133892335753e-07,8,True
1.1,5.011872336272725e-07,8,True
1.1,7.079457843841374e-07,8,True
1.1,1e-06,8,True
1.1,1.4125375446227524e-06,8,True
1.1,1.9952623149688787e-06,8,True
