rho_lower,rho_upper,log10_tau_lower,log10_tau_upper,depth
1.38656005859375,1.3875244140625,-3.193359375,-3.1875,24
1.3875244140625,1.38848876953125,-3.205078125,-3.19921875,24
1.38848876953125,1.389453125,-3.205078125,-3.19921875,24
1.3875244140625,1.38848876953125,-3.19921875,-3.193359375,24
1.3875244140625,1.38848876953125,-3.193359375,-3.1875,24
1.38848876953125,1.389453125,-3.19921875,-3.193359375,24
1.38848876953125,1.389453125,-3.193359375,-3.1875,24
1.3643798828125,1.36534423828125,-3.099609375,-3.09375,24
1.36534423828125,1.36630859375,-3.10546875,-3.099609375,24
1.36534423828125,1.36630859375,-3.099609375,-3.09375,24
1.36920166015625,1.370166015625,-3.123046875,-3.1171875,24
1.36630859375,1.36727294921875,-3.111328125,-3.10546875,24
1.36727294921875,1.3682373046875,-3.111328125,-3.10546875,24
1.36630859375,1.36727294921875,-3.10546875,-3.099609375,24
1.36630859375,1.36727294921875,-3.099609375,-3.09375,24
1.36727294921875,1.3682373046875,-3.10546875,-3.099609375,24
1.36727294921875,1.3682373046875,-3.099609375,-3.09375,24
1.3682373046875,1.36920166015625,-3.1171875,-3.111328125,24
1.3682373046875,1.36920166015625,-3.111328125,-3.10546875,24
1.36920166015625,1.370166015625,-3.1171875,-3.111328125,24
1.36920166015625,1.370166015625,-3.111328125,-3.10546875,24
1.3682373046875,1.36920166015625,-3.10546875,-3.099609375,24
1.3682373046875,1.36920166015625,-3.099609375,-3.09375,24
1.36920166015625,1.370166015625,-3.10546875,-3.099609375,24
1.36920166015625,1.370166015625,-3.099609375,-3.09375,24
1.370166015625,1.37113037109375,-3.12890625,-3.123046875,24
1.370166015625,1.37113037109375,-3.123046875,-3.1171875,24
1.37113037109375,1.3720947265625,-3.12890625,-3.123046875,24
1.37113037109375,1.3720947265625,-3.123046875,-3.1171875,24
1.3720947265625,1.37305908203125,-3.134765625,-3.12890625,24
1.37305908203125,1.3740234375,-3.140625,-3.134765625,24
1.37305908203125,1.3740234375,-3.134765625,-3.12890625,24
1.3720947265625,1.37305908203125,-3.12890625,-3.123046875,24
1.3720947265625,1.37305908203125,-3.123046875,-3.1171875,24
1.37305908203125,1.3740234375,-3.12890625,-3.123046875,24
1.37305908203125,1.3740234375,-3.123046875,-3.1171875,24
1.370166015625,1.37113037109375,-3.1171875,-3.111328125,24
1.370166015625,1.37113037109375,-3.111328125,-3.10546875,24
1.37113037109375,1.3720947265625,-3.1171875,-3.111328125,24
1.37113037109375,1.3720947265625,-3.111328125,-3.10546875,24
1.370166015625,1.37113037109375,-3.10546875,-3.099609375,24
1.3720947265625,1.37305908203125,-3.1171875,-3.111328125,24
1.37305908203125,1.3740234375,-3.1171875,-3.111328125,24
1.35859375,1.35955810546875,-3.076171875,-3.0703125,24
1.35955810546875,1.3605224609375,-3.08203125,-3.076171875,24
1.35955810546875,1.3605224609375,-3.076171875,-3.0703125,24
1.36148681640625,1.362451171875,-3.087890625,-3.08203125,24
1.3605224609375,1.36148681640625,-3.08203125,-3.076171875,24
1.3605224609375,1.36148681640625,-3.076171875,-3.0703125,24
1.36148681640625,1.362451171875,-3.08203125,-3.076171875,24
1.36148681640625,1.362451171875,-3.076171875,-3.0703125,24
1.35859375,1.35955810546875,-3.0703125,-3.064453125,24
1.35859375,1.35955810546875,-3.064453125,-3.05859375,24
1.35955810546875,1.3605224609375,-3.0703125,-3.064453125,24
1.35955810546875,1.3605224609375,-3.064453125,-3.05859375,24
1.35859375,1.35955810546875,-3.05859375,-3.052734375,24
1.35859375,1.35955810546875,-3.052734375,-3.046875,24
1.35955810546875,1.3605224609375,-3.05859375,-3.052734375,24
1.3605224609375,1.36148681640625,-3.0703125,-3.064453125,24
1.3605224609375,1.36148681640625,-3.064453125,-3.05859375,24
1.36148681640625,1.362451171875,-3.0703125,-3.064453125,24
1.362451171875,1.36341552734375,-3.09375,-3.087890625,24
1.362451171875,1.36341552734375,-3.087890625,-3.08203125,24
1.36341552734375,1.3643798828125,-3.09375,-3.087890625,24
1.36341552734375,1.3643798828125,-3.087890625,-3.08203125,24
1.362451171875,1.36341552734375,-3.08203125,-3.076171875,24
1.362451171875,1.36341552734375,-3.076171875,-3.0703125,24
1.36341552734375,1.3643798828125,-3.08203125,-3.076171875,24
1.36341552734375,1.3643798828125,-3.076171875,-3.0703125,24
1.3643798828125,1.36534423828125,-3.09375,-3.087890625,24
1.3643798828125,1.36534423828125,-3.087890625,-3.08203125,24
1.36534423828125,1.36630859375,-3.09375,-3.087890625,24
1.36534423828125,1.36630859375,-3.087890625,-3.08203125,24
1.3643798828125,1.36534423828125,-3.08203125,-3.076171875,24
1.36534423828125,1.36630859375,-3.08203125,-3.076171875,24
1.362451171875,1.36341552734375,-3.0703125,-3.064453125,24
1.36630859375,1.36727294921875,-3.09375,-3.087890625,24
1.36630859375,1.36727294921875,-3.087890625,-3.08203125,24
1.36727294921875,1.3682373046875,-3.09375,-3.087890625,24
1.37498779296875,1.3759521484375,-3.146484375,-3.140625,24
1.37691650390625,1.377880859375,-3.158203125,-3.15234375,24
1.3759521484375,1.37691650390625,-3.15234375,-3.146484375,24
1.3759521484375,1.37691650390625,-3.146484375,-3.140625,24
1.37691650390625,1.377880859375,-3.15234375,-3.146484375,24
1.37691650390625,1.377880859375,-3.146484375,-3.140625,24
1.3798095703125,1.38077392578125,-3.169921875,-3.1640625,24
1.38077392578125,1.38173828125,-3.17578125,-3.169921875,24
1.38077392578125,1.38173828125,-3.169921875,-3.1640625,24
1.377880859375,1.37884521484375,-3.158203125,-3.15234375,24
1.37884521484375,1.3798095703125,-3.1640625,-3.158203125,24
1.37884521484375,1.3798095703125,-3.158203125,-3.15234375,24
1.377880859375,1.37884521484375,-3.15234375,-3.146484375,24
1.377880859375,1.37884521484375,-3.146484375,-3.140625,24
1.37884521484375,1.3798095703125,-3.15234375,-3.146484375,24
1.37884521484375,1.3798095703125,-3.146484375,-3.140625,24
1.3798095703125,1.38077392578125,-3.1640625,-3.158203125,24
1.3798095703125,1.38077392578125,-3.158203125,-3.15234375,24
1.38077392578125,1.38173828125,-3.1640625,-3.158203125,24
1.38077392578125,1.38173828125,-3.158203125,-3.15234375,24
1.3798095703125,1.38077392578125,-3.15234375,-3.146484375,24
1.3798095703125,1.38077392578125,-3.146484375,-3.140625,24
1.38077392578125,1.38173828125,-3.15234375,-3.146484375,24
1.3740234375,1.37498779296875,-3.140625,-3.134765625,24
1.3740234375,1.37498779296875,-3.134765625,-3.12890625,24
1.37498779296875,1.3759521484375,-3.140625,-3.134765625,24
1.37498779296875,1.3759521484375,-3.134765625,-3.12890625,24
1.3740234375,1.37498779296875,-3.12890625,-3.123046875,24
1.3740234375,1.37498779296875,-3.123046875,-3.1171875,24
1.37498779296875,1.3759521484375,-3.12890625,-3.123046875,24
1.3759521484375,1.37691650390625,-3.140625,-3.134765625,24
1.3759521484375,1.37691650390625,-3.134765625,-3.12890625,24
1.37691650390625,1.377880859375,-3.140625,-3.134765625,24
1.37691650390625,1.377880859375,-3.134765625,-3.12890625,24
1.377880859375,1.37884521484375,-3.140625,-3.134765625,24
1.38270263671875,1.3836669921875,-3.181640625,-3.17578125,24
1.38173828125,1.38270263671875,-3.17578125,-3.169921875,24
1.38173828125,1.38270263671875,-3.169921875,-3.1640625,24
1.38270263671875,1.3836669921875,-3.17578125,-3.169921875,24
1.38270263671875,1.3836669921875,-3.169921875,-3.1640625,24
1.3836669921875,1.38463134765625,-3.1875,-3.181640625,24
1.3836669921875,1.38463134765625,-3.181640625,-3.17578125,24
1.38463134765625,1.385595703125,-3.1875,-3.181640625,24
1.38463134765625,1.385595703125,-3.181640625,-3.17578125,24
1.3836669921875,1.38463134765625,-3.17578125,-3.169921875,24
1.3836669921875,1.38463134765625,-3.169921875,-3.1640625,24
1.38463134765625,1.385595703125,-3.17578125,-3.169921875,24
1.38463134765625,1.385595703125,-3.169921875,-3.1640625,24
1.38173828125,1.38270263671875,-3.1640625,-3.158203125,24
1.38173828125,1.38270263671875,-3.158203125,-3.15234375,24
1.38270263671875,1.3836669921875,-3.1640625,-3.158203125,24
1.3836669921875,1.38463134765625,-3.1640625,-3.158203125,24
1.385595703125,1.38656005859375,-3.1875,-3.181640625,24
1.385595703125,1.38656005859375,-3.181640625,-3.17578125,24
1.38656005859375,1.3875244140625,-3.1875,-3.181640625,24
1.38656005859375,1.3875244140625,-3.181640625,-3.17578125,24
1.385595703125,1.38656005859375,-3.17578125,-3.169921875,24
1.38656005859375,1.3875244140625,-3.17578125,-3.169921875,24
1.3875244140625,1.38848876953125,-3.1875,-3.181640625,24
1.3875244140625,1.38848876953125,-3.181640625,-3.17578125,24
1.38848876953125,1.389453125,-3.1875,-3.181640625,24
1.39620361328125,1.39716796875,-3.240234375,-3.234375,24
1.39041748046875,1.3913818359375,-3.216796875,-3.2109375,24
1.3913818359375,1.39234619140625,-3.216796875,-3.2109375,24
1.39234619140625,1.393310546875,-3.22265625,-3.216796875,24
1.39234619140625,1.393310546875,-3.216796875,-3.2109375,24
1.389453125,1.39041748046875,-3.2109375,-3.205078125,24
1.389453125,1.39041748046875,-3.205078125,-3.19921875,24
1.39041748046875,1.3913818359375,-3.2109375,-3.205078125,24
1.39041748046875,1.3913818359375,-3.205078125,-3.19921875,24
1.389453125,1.39041748046875,-3.19921875,-3.193359375,24
1.389453125,1.39041748046875,-3.193359375,-3.1875,24
1.39041748046875,1.3913818359375,-3.19921875,-3.193359375,24
1.39041748046875,1.3913818359375,-3.193359375,-3.1875,24
1.3913818359375,1.39234619140625,-3.2109375,-3.205078125,24
1.3913818359375,1.39234619140625,-3.205078125,-3.19921875,24
1.39234619140625,1.393310546875,-3.2109375,-3.205078125,24
1.39234619140625,1.393310546875,-3.205078125,-3.19921875,24
1.3913818359375,1.39234619140625,-3.19921875,-3.193359375,24
1.393310546875,1.39427490234375,-3.228515625,-3.22265625,24
1.39427490234375,1.3952392578125,-3.228515625,-3.22265625,24
1.393310546875,1.39427490234375,-3.22265625,-3.216796875,24
1.393310546875,1.39427490234375,-3.216796875,-3.2109375,24
1.39427490234375,1.3952392578125,-3.22265625,-3.216796875,24
1.39427490234375,1.3952392578125,-3.216796875,-3.2109375,24
1.3952392578125,1.39620361328125,-3.234375,-3.228515625,24
1.3952392578125,1.39620361328125,-3.228515625,-3.22265625,24
1.39620361328125,1.39716796875,-3.234375,-3.228515625,24
1.39620361328125,1.39716796875,-3.228515625,-3.22265625,24
1.3952392578125,1.39620361328125,-3.22265625,-3.216796875,24
1.3952392578125,1.39620361328125,-3.216796875,-3.2109375,24
1.39620361328125,1.39716796875,-3.22265625,-3.216796875,24
1.393310546875,1.39427490234375,-3.2109375,-3.205078125,24
1.39427490234375,1.3952392578125,-3.2109375,-3.205078125,24
1.39716796875,1.39813232421875,-3.24609375,-3.240234375,24
1.39716796875,1.39813232421875,-3.240234375,-3.234375,24
1.39813232421875,1.3990966796875,-3.24609375,-3.240234375,24
1.39813232421875,1.3990966796875,-3.240234375,-3.234375,24
1.3990966796875,1.40006103515625,-3.251953125,-3.24609375,24
1.40006103515625,1.401025390625,-3.2578125,-3.251953125,24
1.40006103515625,1.401025390625,-3.251953125,-3.24609375,24
1.3990966796875,1.40006103515625,-3.24609375,-3.240234375,24
1.3990966796875,1.40006103515625,-3.240234375,-3.234375,24
1.40006103515625,1.401025390625,-3.24609375,-3.240234375,24
1.40006103515625,1.401025390625,-3.240234375,-3.234375,24
1.40198974609375,1.4029541015625,-3.263671875,-3.2578125,24
1.4029541015625,1.40391845703125,-3.26953125,-3.263671875,24
1.4029541015625,1.40391845703125,-3.263671875,-3.2578125,24
1.40391845703125,1.4048828125,-3.26953125,-3.263671875,24
1.40391845703125,1.4048828125,-3.263671875,-3.2578125,24
1.401025390625,1.40198974609375,-3.2578125,-3.251953125,24
1.401025390625,1.40198974609375,-3.251953125,-3.24609375,24
1.40198974609375,1.4029541015625,-3.2578125,-3.251953125,24
1.40198974609375,1.4029541015625,-3.251953125,-3.24609375,24
1.401025390625,1.40198974609375,-3.24609375,-3.240234375,24
1.401025390625,1.40198974609375,-3.240234375,-3.234375,24
1.40198974609375,1.4029541015625,-3.24609375,-3.240234375,24
1.4029541015625,1.40391845703125,-3.2578125,-3.251953125,24
1.4029541015625,1.40391845703125,-3.251953125,-3.24609375,24
1.40391845703125,1.4048828125,-3.2578125,-3.251953125,24
1.40391845703125,1.4048828125,-3.251953125,-3.24609375,24
1.39716796875,1.39813232421875,-3.234375,-3.228515625,24
1.39716796875,1.39813232421875,-3.228515625,-3.22265625,24
1.39813232421875,1.3990966796875,-3.234375,-3.228515625,24
1.39813232421875,1.3990966796875,-3.228515625,-3.22265625,24
1.39716796875,1.39813232421875,-3.22265625,-3.216796875,24
1.3990966796875,1.40006103515625,-3.234375,-3.228515625,24
1.40006103515625,1.401025390625,-3.234375,-3.228515625,24
1.4068115234375,1.40777587890625,-3.287109375,-3.28125,24
1.40777587890625,1.408740234375,-3.287109375,-3.28125,24
1.40970458984375,1.4106689453125,-3.298828125,-3.29296875,24
1.408740234375,1.40970458984375,-3.29296875,-3.287109375,24
1.408740234375,1.40970458984375,-3.287109375,-3.28125,24
1.40970458984375,1.4106689453125,-3.29296875,-3.287109375,24
1.40970458984375,1.4106689453125,-3.287109375,-3.28125,24
1.4106689453125,1.41163330078125,-3.298828125,-3.29296875,24
1.41163330078125,1.41259765625,-3.3046875,-3.298828125,24
1.41163330078125,1.41259765625,-3.298828125,-3.29296875,24
1.4106689453125,1.41163330078125,-3.29296875,-3.287109375,24
1.4106689453125,1.41163330078125,-3.287109375,-3.28125,24
1.41163330078125,1.41259765625,-3.29296875,-3.287109375,24
1.41163330078125,1.41259765625,-3.287109375,-3.28125,24
1.4183837890625,1.41934814453125,-3.333984375,-3.328125,24
1.41934814453125,1.4203125,-3.33984375,-3.333984375,24
1.41934814453125,1.4203125,-3.333984375,-3.328125,24
1.41259765625,1.41356201171875,-3.310546875,-3.3046875,24
1.41356201171875,1.4145263671875,-3.310546875,-3.3046875,24
1.41549072265625,1.416455078125,-3.322265625,-3.31640625,24
1.4145263671875,1.41549072265625,-3.31640625,-3.310546875,24
1.4145263671875,1.41549072265625,-3.310546875,-3.3046875,24
